date,match_id,url_match,home,away,home_score,away_score
12/02/2026,1xl17gcxnlunujreijpsem2vo,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/81abh4umtz640xpnasjc1tvkk/match/view/1xl17gcxnlunujreijpsem2vo,Antwerp,Anderlecht,0,4
11/02/2026,1wvc8oqn04zbv1s17h7gtdhck,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/81abh4umtz640xpnasjc1tvkk/match/view/1wvc8oqn04zbv1s17h7gtdhck,R. Union SG,Charleroi,4,1
05/02/2026,1w639i25r7gadqy8obzk93bis,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/81abh4umtz640xpnasjc1tvkk/match/view/1w639i25r7gadqy8obzk93bis,Anderlecht,Antwerp,0,1
04/02/2026,1vgn193kyil0btsoosdlne3v8,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/81abh4umtz640xpnasjc1tvkk/match/view/1vgn193kyil0btsoosdlne3v8,Charleroi,R. Union SG,0,0
15/01/2026,5l99lfflheh2dn34n14c0naqc,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/81abh4umtz640xpnasjc1tvkk/match/view/5l99lfflheh2dn34n14c0naqc,Anderlecht,Gent,1,0
14/01/2026,5kz095mwe3amv5djj48y9nn6c,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/81abh4umtz640xpnasjc1tvkk/match/view/5kz095mwe3amv5djj48y9nn6c,Dender,R. Union SG,0,2
13/01/2026,5kla0mmwvs2ew514moegay7tg,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/81abh4umtz640xpnasjc1tvkk/match/view/5kla0mmwvs2ew514moegay7tg,Charleroi,Club Brugge,2,0
13/01/2026,5ljgy0yd6zas2hklmlkw9s93o,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/81abh4umtz640xpnasjc1tvkk/match/view/5ljgy0yd6zas2hklmlkw9s93o,Antwerp,La Louvière,2,1
04/12/2025,1ofety3blym4sxllqvyvxpono,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/81abh4umtz640xpnasjc1tvkk/match/view/1ofety3blym4sxllqvyvxpono,Genk,Anderlecht,1,3
04/12/2025,1ptwvgboqao6gr1ojyt4t553o,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/81abh4umtz640xpnasjc1tvkk/match/view/1ptwvgboqao6gr1ojyt4t553o,Charleroi,Mechelen,2,0
03/12/2025,1na02rni02mzl5hdaszbhi1p0,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/81abh4umtz640xpnasjc1tvkk/match/view/1na02rni02mzl5hdaszbhi1p0,R. Union SG,ZW,2,1
03/12/2025,1p4ohfl4bsjblbg2u3t9lpmac,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/81abh4umtz640xpnasjc1tvkk/match/view/1p4ohfl4bsjblbg2u3t9lpmac,OHL,Club Brugge,1,2
03/12/2025,1phd44jiiypzbtolm3db2nqxg,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/81abh4umtz640xpnasjc1tvkk/match/view/1phd44jiiypzbtolm3db2nqxg,Cercle Brugge,Gent,1,3
