date,match_id,url_match,home,away,home_score,away_score
22/03/2026,6qflpxyqdfwuu5rysj57jmz8,https://www.scoresway.com/en_GB/soccer/first-division-a-2025-2026/16lkdpoccbh056r0v0bordo2c/match/view/6qflpxyqdfwuu5rysj57jmz8,ZW,Charleroi,1,0
22/03/2026,5yulmd6q8fmyxrvb1x273wgk,https://www.scoresway.com/en_GB/soccer/first-division-a-2025-2026/16lkdpoccbh056r0v0bordo2c/match/view/5yulmd6q8fmyxrvb1x273wgk,Standard,Westerlo,0,0
22/03/2026,7i6p9irsrd46r8xwkw528v84,https://www.scoresway.com/en_GB/soccer/first-division-a-2025-2026/16lkdpoccbh056r0v0bordo2c/match/view/7i6p9irsrd46r8xwkw528v84,Sint-Truiden,R. Union SG,1,3
22/03/2026,74api9wr81u45njsbbpvqfx0,https://www.scoresway.com/en_GB/soccer/first-division-a-2025-2026/16lkdpoccbh056r0v0bordo2c/match/view/74api9wr81u45njsbbpvqfx0,OHL,Antwerp,1,0
22/03/2026,6cmllhgk50qmjh9cnwxzxj4k,https://www.scoresway.com/en_GB/soccer/first-division-a-2025-2026/16lkdpoccbh056r0v0bordo2c/match/view/6cmllhgk50qmjh9cnwxzxj4k,La Louvière,Genk,5,5
22/03/2026,7vwx8gpspwpiwt5kimkrtn9w,https://www.scoresway.com/en_GB/soccer/first-division-a-2025-2026/16lkdpoccbh056r0v0bordo2c/match/view/7vwx8gpspwpiwt5kimkrtn9w,Dender,Gent,1,3
22/03/2026,574hib69vdqlyaibqb3ylgr8,https://www.scoresway.com/en_GB/soccer/first-division-a-2025-2026/16lkdpoccbh056r0v0bordo2c/match/view/574hib69vdqlyaibqb3ylgr8,Club Brugge,Mechelen,4,1
22/03/2026,5l2a4vu1os0jewmhlms0bj84,https://www.scoresway.com/en_GB/soccer/first-division-a-2025-2026/16lkdpoccbh056r0v0bordo2c/match/view/5l2a4vu1os0jewmhlms0bj84,Anderlecht,Cercle Brugge,2,3
15/03/2026,3j50j7sjjsbyojpdnbeiny1g,https://www.scoresway.com/en_GB/soccer/first-division-a-2025-2026/16lkdpoccbh056r0v0bordo2c/match/view/3j50j7sjjsbyojpdnbeiny1g,Cercle Brugge,La Louvière,1,3
15/03/2026,3ww0bxfebitggkq1kd9if9xw,https://www.scoresway.com/en_GB/soccer/first-division-a-2025-2026/16lkdpoccbh056r0v0bordo2c/match/view/3ww0bxfebitggkq1kd9if9xw,Mechelen,Anderlecht,1,0
15/03/2026,33mf5x1j4e1viiif91wgi49g,https://www.scoresway.com/en_GB/soccer/first-division-a-2025-2026/16lkdpoccbh056r0v0bordo2c/match/view/33mf5x1j4e1viiif91wgi49g,Antwerp,Standard,1,1
15/03/2026,2bs03biibb5ao8fo7843e5g4,https://www.scoresway.com/en_GB/soccer/first-division-a-2025-2026/16lkdpoccbh056r0v0bordo2c/match/view/2bs03biibb5ao8fo7843e5g4,Genk,Sint-Truiden,1,0
14/03/2026,4bp0f3c6l2o3udm5ubi70x04,https://www.scoresway.com/en_GB/soccer/first-division-a-2025-2026/16lkdpoccbh056r0v0bordo2c/match/view/4bp0f3c6l2o3udm5ubi70x04,Westerlo,Club Brugge,1,2
14/03/2026,1wwj496t086beboqc0iuhdsk,https://www.scoresway.com/en_GB/soccer/first-division-a-2025-2026/16lkdpoccbh056r0v0bordo2c/match/view/1wwj496t086beboqc0iuhdsk,R. Union SG,Dender,2,0
14/03/2026,4t7ou8xzmiup5d5jniudx0k4,https://www.scoresway.com/en_GB/soccer/first-division-a-2025-2026/16lkdpoccbh056r0v0bordo2c/match/view/4t7ou8xzmiup5d5jniudx0k4,Charleroi,OHL,0,2
13/03/2026,2pmvsm643e8tytuelbft5lp0,https://www.scoresway.com/en_GB/soccer/first-division-a-2025-2026/16lkdpoccbh056r0v0bordo2c/match/view/2pmvsm643e8tytuelbft5lp0,Gent,ZW,2,0
