date,match_id,url_match,home,away,home_score,away_score
21/04/2026,buk272dbjz52qe92ktyi40lw,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/6ggcb7ofcnupyzg3qgw6xbhg4/match/view/buk272dbjz52qe92ktyi40lw,Karviná,Ostrava,2,1
21/04/2026,bif68xrwz2bz1ojgvkxcgz6c,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/6ggcb7ofcnupyzg3qgw6xbhg4/match/view/bif68xrwz2bz1ojgvkxcgz6c,Jablonec,Ml. Boleslav,1,0
05/03/2026,183n99dz6vrtmx8zqy2rqj2s,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/6ggcb7ofcnupyzg3qgw6xbhg4/match/view/183n99dz6vrtmx8zqy2rqj2s,Karviná,Plzeň,3,0
04/03/2026,1t81lcai8y2gptrboiih3eok,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/6ggcb7ofcnupyzg3qgw6xbhg4/match/view/1t81lcai8y2gptrboiih3eok,Hradec Kr.,Ostrava,0,0
03/03/2026,uku4mt25miikfith09es104,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/6ggcb7ofcnupyzg3qgw6xbhg4/match/view/uku4mt25miikfith09es104,Ml. Boleslav,Sparta,0,0
03/03/2026,1ipytqlo06f35g5jl04us844,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/6ggcb7ofcnupyzg3qgw6xbhg4/match/view/1ipytqlo06f35g5jl04us844,Jablonec,Slavia,2,2
03/12/2025,7dcry3vglq2b1n437nmps5nh0,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/6ggcb7ofcnupyzg3qgw6xbhg4/match/view/7dcry3vglq2b1n437nmps5nh0,Artis,Sparta,1,2
12/11/2025,7bymjftiygkjkqvn51a6637dg,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/6ggcb7ofcnupyzg3qgw6xbhg4/match/view/7bymjftiygkjkqvn51a6637dg,Zbrojovka,Hradec Kr.,0,3
05/11/2025,7aszd80npmnbm6e7c3cxq13is,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/6ggcb7ofcnupyzg3qgw6xbhg4/match/view/7aszd80npmnbm6e7c3cxq13is,Bohemians,Ml. Boleslav,0,0
05/11/2025,7d08k21e7gvuv7wnchuxnwd90,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/6ggcb7ofcnupyzg3qgw6xbhg4/match/view/7d08k21e7gvuv7wnchuxnwd90,Pardubice,Ostrava,3,4
29/10/2025,7cb8vkjg86ne1fgc1iyt2y5g4,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/6ggcb7ofcnupyzg3qgw6xbhg4/match/view/7cb8vkjg86ne1fgc1iyt2y5g4,Zlín,Slavia,0,4
29/10/2025,7bmaegox5vxr072v1y14ncwes,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/6ggcb7ofcnupyzg3qgw6xbhg4/match/view/7bmaegox5vxr072v1y14ncwes,Nové Sady,Plzeň,0,2
28/10/2025,7cnrcwkr8n567ohl6prri0b2s,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/6ggcb7ofcnupyzg3qgw6xbhg4/match/view/7cnrcwkr8n567ohl6prri0b2s,Jablonec,Dukla,2,1
28/10/2025,7b9iadhbkplnswsyzwmm5zcb8,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/6ggcb7ofcnupyzg3qgw6xbhg4/match/view/7b9iadhbkplnswsyzwmm5zcb8,Karviná,Slovácko,1,0
01/10/2025,2kez3423cfh28ff5dhtqh1wyc,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/6ggcb7ofcnupyzg3qgw6xbhg4/match/view/2kez3423cfh28ff5dhtqh1wyc,Třinec,Hradec Kr.,3,4
30/09/2025,2lf82dcuxn2k759j98v1ai4no,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/6ggcb7ofcnupyzg3qgw6xbhg4/match/view/2lf82dcuxn2k759j98v1ai4no,Vysočina,Dukla,0,1
30/09/2025,2kr1zfm7kyutnh8c5j6od9yxg,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/6ggcb7ofcnupyzg3qgw6xbhg4/match/view/2kr1zfm7kyutnh8c5j6od9yxg,Artis,Liberec,1,1
24/09/2025,2l31a1dggshffb5vhpahnalg4,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/6ggcb7ofcnupyzg3qgw6xbhg4/match/view/2l31a1dggshffb5vhpahnalg4,Zbrojovka,Teplice,2,1
