date,match_id,url_match,home,away,home_score,away_score
08/03/2026,etxqva9yzlomocq6n01q7gd90,https://www.scoresway.com/en_GB/soccer/dbu-pokalen-2025-2026/d07yo1vpa9ane5svnjo30vqxg/match/view/etxqva9yzlomocq6n01q7gd90,Midtjylland,AGF,1,1
07/03/2026,etmq192q6hc3rwr5xri44glqs,https://www.scoresway.com/en_GB/soccer/dbu-pokalen-2025-2026/d07yo1vpa9ane5svnjo30vqxg/match/view/etmq192q6hc3rwr5xri44glqs,Viborg,København,1,2
12/02/2026,etbo8th8el1lxh6ghdit0ruac,https://www.scoresway.com/en_GB/soccer/dbu-pokalen-2025-2026/d07yo1vpa9ane5svnjo30vqxg/match/view/etbo8th8el1lxh6ghdit0ruac,AGF,Midtjylland,0,1
11/02/2026,eswysei59f7dfavbvue0ljxn8,https://www.scoresway.com/en_GB/soccer/dbu-pokalen-2025-2026/d07yo1vpa9ane5svnjo30vqxg/match/view/eswysei59f7dfavbvue0ljxn8,København,Viborg,2,1
14/12/2025,3fnltvkc1fjqmdmp23evkror8,https://www.scoresway.com/en_GB/soccer/dbu-pokalen-2025-2026/d07yo1vpa9ane5svnjo30vqxg/match/view/3fnltvkc1fjqmdmp23evkror8,Nordsjælland,Midtjylland,2,1
14/12/2025,3f0itjhv7f35njjd52zpp3aqc,https://www.scoresway.com/en_GB/soccer/dbu-pokalen-2025-2026/d07yo1vpa9ane5svnjo30vqxg/match/view/3f0itjhv7f35njjd52zpp3aqc,AGF,OB,3,1
13/12/2025,3fz8895z5nfanilgwy0p6zspg,https://www.scoresway.com/en_GB/soccer/dbu-pokalen-2025-2026/d07yo1vpa9ane5svnjo30vqxg/match/view/3fz8895z5nfanilgwy0p6zspg,København,Esbjerg,2,0
13/12/2025,3fc817d73i0oeet6wmwg5rx90,https://www.scoresway.com/en_GB/soccer/dbu-pokalen-2025-2026/d07yo1vpa9ane5svnjo30vqxg/match/view/3fc817d73i0oeet6wmwg5rx90,Vejle,Viborg,1,0
11/12/2025,3dmdgvcj22t9jnd7owk47etxw,https://www.scoresway.com/en_GB/soccer/dbu-pokalen-2025-2026/d07yo1vpa9ane5svnjo30vqxg/match/view/3dmdgvcj22t9jnd7owk47etxw,OB,AGF,1,0
04/12/2025,3ed4b6idr4h798dumdvlrsb2s,https://www.scoresway.com/en_GB/soccer/dbu-pokalen-2025-2026/d07yo1vpa9ane5svnjo30vqxg/match/view/3ed4b6idr4h798dumdvlrsb2s,Midtjylland,Nordsjælland,5,1
