date,match_id,url_match,home,away,home_score,away_score
01/03/2026,37l8skwpfr1k2i5iftdh22710,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/37l8skwpfr1k2i5iftdh22710,Viborg,Nordsjælland,2,1
01/03/2026,36t7x5dlo927nbyx7y3j9sg7o,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/36t7x5dlo927nbyx7y3j9sg7o,Vejle,AGF,1,2
01/03/2026,37yyhyif6fwlciydmx3wmgutw,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/37yyhyif6fwlciydmx3wmgutw,Sønderjyske,OB,1,0
01/03/2026,377fxacgiw32ihrvxbr9gx0r8,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/377fxacgiw32ihrvxbr9gx0r8,Midtjylland,Brøndby,0,0
01/03/2026,361fq7qw5rg7q8e21tjn8g93o,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/361fq7qw5rg7q8e21tjn8g93o,København,Randers,1,2
01/03/2026,36faeyjpf3l5ugqehraj25kpg,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/36faeyjpf3l5ugqehraj25kpg,Fredericia,Silkeborg,2,1
23/02/2026,3429nxhxveljxx3nvzro9a978,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/3429nxhxveljxx3nvzro9a978,Brøndby,Sønderjyske,0,0
22/02/2026,33ogfl3h5zs9373ggiydnzm6s,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/33ogfl3h5zs9373ggiydnzm6s,AGF,Viborg,5,2
22/02/2026,35nh2emxf3jusrj15a3htnthw,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/35nh2emxf3jusrj15a3htnthw,Silkeborg,Midtjylland,0,4
22/02/2026,357zmz51c355s0al4bzk1lmhg,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/357zmz51c355s0al4bzk1lmhg,Randers,Fredericia,1,2
21/02/2026,34u9wy2dnny5l42c3d3lr6vx0,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/34u9wy2dnny5l42c3d3lr6vx0,OB,København,2,2
20/02/2026,34ganocfqii66gyo9s6d0tlhw,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/34ganocfqii66gyo9s6d0tlhw,Nordsjælland,Vejle,3,3
16/02/2026,33alilpnslg1snt2pqtdmfv9w,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/33alilpnslg1snt2pqtdmfv9w,Sønderjyske,Silkeborg,2,1
15/02/2026,32isyqxq2p8tymhi70hwq5f6c,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/32isyqxq2p8tymhi70hwq5f6c,Viborg,Brøndby,1,0
15/02/2026,32wtq6uq16bebzgjhrsq78qac,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/32wtq6uq16bebzgjhrsq78qac,OB,Midtjylland,1,4
15/02/2026,324v3i1xi1b9cf2ye0fh8b47o,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/324v3i1xi1b9cf2ye0fh8b47o,Fredericia,AGF,1,1
14/02/2026,31d6qq29d05ru4p1gzqfivk7o,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/31d6qq29d05ru4p1gzqfivk7o,København,Nordsjælland,1,2
13/02/2026,31r117pjwo10mjqo3f2zncnpw,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/31r117pjwo10mjqo3f2zncnpw,Randers,Vejle,2,0
09/02/2026,2z05noii6yue6fzabee6lej9w,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2z05noii6yue6fzabee6lej9w,AGF,OB,2,1
09/02/2026,30z9nimolr4m037gi1bpd6ivo,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/30z9nimolr4m037gi1bpd6ivo,Vejle,Fredericia,2,3
08/02/2026,2zdvg3kq4r21vnxgnxhlfswes,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2zdvg3kq4r21vnxgnxhlfswes,Brøndby,Randers,0,0
08/02/2026,30lenqbm3pk4zedq38fd7tn9w,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/30lenqbm3pk4zedq38fd7tn9w,Midtjylland,København,2,1
08/02/2026,305qhr3zvpnjq0k0yv2xwszdg,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/305qhr3zvpnjq0k0yv2xwszdg,Silkeborg,Viborg,0,1
08/02/2026,2zry6hy7qnikgwragzbym582c,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2zry6hy7qnikgwragzbym582c,Nordsjælland,Sønderjyske,2,1
08/12/2025,2y8czlthgpahym02e1ruu9hck,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2y8czlthgpahym02e1ruu9hck,Vejle,Brøndby,2,1
07/12/2025,2wosei17c3s1dx76539lqymtw,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2wosei17c3s1dx76539lqymtw,København,Sønderjyske,0,2
07/12/2025,2xucm9pz1vewzetiux8u31afo,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2xucm9pz1vewzetiux8u31afo,Randers,AGF,1,2
07/12/2025,2ymab345hs562podmuyqw4qac,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2ymab345hs562podmuyqw4qac,Viborg,Midtjylland,3,3
07/12/2025,2xgf6xy56z782yiuf3ukrr6s4,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2xgf6xy56z782yiuf3ukrr6s4,Nordsjælland,Silkeborg,5,0
05/12/2025,2x2q494fnqpjdpsjox1uc800k,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2x2q494fnqpjdpsjox1uc800k,Fredericia,OB,1,3
01/12/2025,2uppfg35mhuqhyr5vbww9tb10,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2uppfg35mhuqhyr5vbww9tb10,Brøndby,Fredericia,1,3
30/11/2025,2vj226nolb2e3ye1zvg0mh4b8,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2vj226nolb2e3ye1zvg0mh4b8,OB,Vejle,3,0
30/11/2025,2v3ld2b2j1h4sjbhh406mmluc,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2v3ld2b2j1h4sjbhh406mmluc,Midtjylland,Nordsjælland,6,0
30/11/2025,2wavpd50yqblua9dyr8mmsxec,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2wavpd50yqblua9dyr8mmsxec,Silkeborg,Randers,0,0
30/11/2025,2ubpa95qwcj2f1vh1oqj9k3ys,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2ubpa95qwcj2f1vh1oqj9k3ys,AGF,København,2,0
28/11/2025,2vwuicp9d73za41yv33rgdb84,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2vwuicp9d73za41yv33rgdb84,Sønderjyske,Viborg,2,2
24/11/2025,2tk3f1tiruux9a9hr4ueirjmc,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2tk3f1tiruux9a9hr4ueirjmc,Randers,OB,0,0
23/11/2025,2t63i5lxfdrlixqbuopkiwf10,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2t63i5lxfdrlixqbuopkiwf10,Sønderjyske,Midtjylland,2,1
23/11/2025,2ss6pjgtvsc39ro0j4idgpn9w,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2ss6pjgtvsc39ro0j4idgpn9w,Nordsjælland,Fredericia,5,0
23/11/2025,2txxrdec2j26x68ugmacy3mdw,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2txxrdec2j26x68ugmacy3mdw,Viborg,Vejle,5,2
23/11/2025,2sehlsg62hwiyg8csg2l1euc4,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2sehlsg62hwiyg8csg2l1euc4,København,Brøndby,1,0
21/11/2025,2s0q95siwqmgb4kd7g89diq6s,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2s0q95siwqmgb4kd7g89diq6s,Silkeborg,AGF,0,2
09/11/2025,2q1sxb7r3pbx7mji3gfvh4m50,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2q1sxb7r3pbx7mji3gfvh4m50,Brøndby,Nordsjælland,2,0
09/11/2025,2po0ocubbl5ypgcyhlx8jn0no,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2po0ocubbl5ypgcyhlx8jn0no,AGF,Sønderjyske,2,3
09/11/2025,2rmw03zscnag8ustyyol4ayok,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2rmw03zscnag8ustyyol4ayok,Randers,Midtjylland,0,2
09/11/2025,2r95305gm9brnc1mw75kxbfv8,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2r95305gm9brnc1mw75kxbfv8,Vejle,København,2,0
09/11/2025,2qhdw0ti2dng89m2y12r2ywb8,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2qhdw0ti2dng89m2y12r2ywb8,Fredericia,Viborg,0,3
07/11/2025,2qv80z6goaanrw2e6foqchb10,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2qv80z6goaanrw2e6foqchb10,OB,Silkeborg,1,1
03/11/2025,2o3qyabsyzxg2ompmo4qyzspg,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2o3qyabsyzxg2ompmo4qyzspg,Midtjylland,AGF,1,1
02/11/2025,2oi92mmp043d6660fju7h2rro,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2oi92mmp043d6660fju7h2rro,Silkeborg,Brøndby,0,2
02/11/2025,2n7oqzokhoxz3ly5hkrt0st1w,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2n7oqzokhoxz3ly5hkrt0st1w,Nordsjælland,OB,2,4
02/11/2025,2nldrnbld8ljc3dgmb9jnm87o,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2nldrnbld8ljc3dgmb9jnm87o,Sønderjyske,Vejle,2,1
02/11/2025,2pa81f4p20gwo9qcinzyrfk0k,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2pa81f4p20gwo9qcinzyrfk0k,Viborg,Randers,3,2
01/11/2025,2ow50dbwyudnbw2rfvanp1bmc,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2ow50dbwyudnbw2rfvanp1bmc,København,Fredericia,3,2
27/10/2025,2mg1burxwejqb60gkt6sl2tck,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2mg1burxwejqb60gkt6sl2tck,OB,Brøndby,1,4
26/10/2025,2laqnjucfw2rl7sktbptb1ct0,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2laqnjucfw2rl7sktbptb1ct0,København,Viborg,0,0
26/10/2025,2m2b62zrb1q3xavt1pkwhqsyc,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2m2b62zrb1q3xavt1pkwhqsyc,Randers,Sønderjyske,0,0
26/10/2025,2mtutd9des8kkhs6r8lr8sa38,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2mtutd9des8kkhs6r8lr8sa38,Vejle,Silkeborg,1,2
26/10/2025,2logcbw8zi17m013n2vsnxmac,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2logcbw8zi17m013n2vsnxmac,Fredericia,Midtjylland,0,4
24/10/2025,2kv6b8cjclz5a1s4bwrkvcbv8,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2kv6b8cjclz5a1s4bwrkvcbv8,AGF,Nordsjælland,1,0
20/10/2025,2k2im8mf3207jj1re5b8tkbv8,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2k2im8mf3207jj1re5b8tkbv8,Sønderjyske,Fredericia,3,0
19/10/2025,2ijjcaxvxmjj6axne076x11ck,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2ijjcaxvxmjj6axne076x11ck,Midtjylland,Vejle,5,1
19/10/2025,2jb288pzuepikl4l87690b2ms,https://www.scoresway.com/en_GB/soccer/superliga-2025-2026/3o8l1yf2irp018eaa2far455g/match/view/2jb288pzuepikl4l87690b2ms,Brøndby,AGF,3,3
