date,match_id,url_match,home,away,home_score,away_score
04/02/2026,casw1erxa9fq9c6fwqlyv3rpw,https://www.scoresway.com/en_GB/soccer/league-cup-2025-2026/6lhltebj0dx79xptn0hyph5as/match/view/casw1erxa9fq9c6fwqlyv3rpw,Man City,Newcastle,3,1
03/02/2026,ca7tqxlxzjgkpxx04rd5u4etw,https://www.scoresway.com/en_GB/soccer/league-cup-2025-2026/6lhltebj0dx79xptn0hyph5as/match/view/ca7tqxlxzjgkpxx04rd5u4etw,Arsenal,Chelsea,1,0
14/01/2026,c98pqpyz8vbn6gsx7wjzcc3ro,https://www.scoresway.com/en_GB/soccer/league-cup-2025-2026/6lhltebj0dx79xptn0hyph5as/match/view/c98pqpyz8vbn6gsx7wjzcc3ro,Chelsea,Arsenal,2,3
13/01/2026,c9wmitmf7sdi681bd8epuz504,https://www.scoresway.com/en_GB/soccer/league-cup-2025-2026/6lhltebj0dx79xptn0hyph5as/match/view/c9wmitmf7sdi681bd8epuz504,Newcastle,Man City,0,2
23/12/2025,f4vscquffy37afgv0arwcbztg,https://www.scoresway.com/en_GB/soccer/league-cup-2025-2026/6lhltebj0dx79xptn0hyph5as/match/view/f4vscquffy37afgv0arwcbztg,Arsenal,Crystal Palace,1,1
17/12/2025,e2twml6jrawluazjdlw0w0k,https://www.scoresway.com/en_GB/soccer/league-cup-2025-2026/6lhltebj0dx79xptn0hyph5as/match/view/e2twml6jrawluazjdlw0w0k,Newcastle,Fulham,2,1
17/12/2025,1omu6342qleye8nd6kx6fpw,https://www.scoresway.com/en_GB/soccer/league-cup-2025-2026/6lhltebj0dx79xptn0hyph5as/match/view/1omu6342qleye8nd6kx6fpw,Man City,Brentford,2,0
16/12/2025,f5bfllymzqwmvoxajqsn8hx5g,https://www.scoresway.com/en_GB/soccer/league-cup-2025-2026/6lhltebj0dx79xptn0hyph5as/match/view/f5bfllymzqwmvoxajqsn8hx5g,Cardiff,Chelsea,1,3
22/03/2026,6tztqltv0rxhfnwlpexu5i1p0,https://www.scoresway.com/en_GB/soccer/league-cup-2025-2026/6lhltebj0dx79xptn0hyph5as/match/view/6tztqltv0rxhfnwlpexu5i1p0,Arsenal,Man City,0,2
29/10/2025,afebe8j7wnqm3ru1ckzscxus4,https://www.scoresway.com/en_GB/soccer/league-cup-2025-2026/6lhltebj0dx79xptn0hyph5as/match/view/afebe8j7wnqm3ru1ckzscxus4,Newcastle,Spurs,2,0
29/10/2025,af18yyfc5rarnyvi3evea9xxw,https://www.scoresway.com/en_GB/soccer/league-cup-2025-2026/6lhltebj0dx79xptn0hyph5as/match/view/af18yyfc5rarnyvi3evea9xxw,Wolves,Chelsea,3,4
29/10/2025,aeo6avoesfz1f06qaw8tqmyhg,https://www.scoresway.com/en_GB/soccer/league-cup-2025-2026/6lhltebj0dx79xptn0hyph5as/match/view/aeo6avoesfz1f06qaw8tqmyhg,Swansea,Man City,1,3
29/10/2025,aeb055aautyoxpou3kwrw642c,https://www.scoresway.com/en_GB/soccer/league-cup-2025-2026/6lhltebj0dx79xptn0hyph5as/match/view/aeb055aautyoxpou3kwrw642c,Liverpool,Crystal Palace,0,3
29/10/2025,adxx1ue4e7h0i93pwl7xucr2s,https://www.scoresway.com/en_GB/soccer/league-cup-2025-2026/6lhltebj0dx79xptn0hyph5as/match/view/adxx1ue4e7h0i93pwl7xucr2s,Arsenal,Brighton,2,0
