date,match_id,url_match,home,away,home_score,away_score
03/03/2026,76hriley058ze8s10gz0q0bv8,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/76hriley058ze8s10gz0q0bv8,Strasbourg,Reims,2,1
05/02/2026,5tdu884vygc1incb4gk1089hw,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/5tdu884vygc1incb4gk1089hw,Strasbourg,Monaco,3,1
04/02/2026,6k8t67n1480eb5fauadkiaal0,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/6k8t67n1480eb5fauadkiaal0,Troyes,Lens,2,4
04/02/2026,3o61uu8chm561alye36c09s0k,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/3o61uu8chm561alye36c09s0k,Toulouse,Amiens,1,0
04/02/2026,9y97uz2dr6hla429h0fd7ieqc,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/9y97uz2dr6hla429h0fd7ieqc,Nice,Montpellier,3,2
04/02/2026,sxv3fzske8r2d159wxit6xw4,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/sxv3fzske8r2d159wxit6xw4,Lyon,Laval,2,0
04/02/2026,4ftwpchg81pgrtap1ezpotgr8,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/4ftwpchg81pgrtap1ezpotgr8,Lorient,Paris FC,2,0
03/02/2026,2r2c3d0rl4ztq0edr2qh5di50,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/2r2c3d0rl4ztq0edr2qh5di50,Marseille,Rennes,3,0
03/02/2026,7vq7tkw5zmx4r9hpvae92ekno,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/7vq7tkw5zmx4r9hpvae92ekno,Reims,Le Mans,3,0
13/01/2026,uq7mii2ixoxttyhe8jrex3o,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/uq7mii2ixoxttyhe8jrex3o,Bayeux,Marseille,0,9
12/01/2026,8k667tt0earxppabk8ln4y0b8,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/8k667tt0earxppabk8ln4y0b8,Paris SG,Paris FC,0,1
11/01/2026,71a79g451y2pyx27cvyijd89g,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/71a79g451y2pyx27cvyijd89g,Lille,Lyon,1,2
11/01/2026,8pn1vyeoohmkky7krvy0g3zf8,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/8pn1vyeoohmkky7krvy0g3zf8,Nantes,Nice,1,1
11/01/2026,2wthpb040nfdmi0phjqcu87is,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/2wthpb040nfdmi0phjqcu87is,Metz,Montpellier,0,4
11/01/2026,2f9q3txy7ve7c3syv0d3sd8us,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/2f9q3txy7ve7c3syv0d3sd8us,Le Mans,Nancy,0,0
11/01/2026,5otcm0x1k86z9qtzkwydvt91w,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/5otcm0x1k86z9qtzkwydvt91w,Chantilly,Rennes,1,3
11/01/2026,cpvz1azxu6xqz7l27i1chm8lw,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/cpvz1azxu6xqz7l27i1chm8lw,Sochaux,Lens,0,3
10/01/2026,a6hbrh2qrtkz2gh68r4za036c,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/a6hbrh2qrtkz2gh68r4za036c,Le Puy,Reims,0,0
10/01/2026,qw7ed9c3haxpaccas4si7eac,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/qw7ed9c3haxpaccas4si7eac,Istres,Laval,0,2
10/01/2026,4i7j9ngsb9xd8nn18by520m50,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/4i7j9ngsb9xd8nn18by520m50,Hauts Lyonnais,Lorient,1,3
10/01/2026,1xuzu3psdh1wrxnae5i4gnk7o,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/1xuzu3psdh1wrxnae5i4gnk7o,Avranches,Strasbourg,0,6
10/01/2026,e5emu6tvcrgtiayvfj8d3y590,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/e5emu6tvcrgtiayvfj8d3y590,Orléans,Monaco,1,3
10/01/2026,dqrb6u91dugdi6jkeuz3opdsk,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/dqrb6u91dugdi6jkeuz3opdsk,Montreuil,Amiens,2,4
10/01/2026,7al479cig6mixuf1an701z21g,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/7al479cig6mixuf1an701z21g,Bastia,Troyes,0,2
10/01/2026,7u4sr9j2bzpg9p2xaryakxlas,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/7u4sr9j2bzpg9p2xaryakxlas,Angers,Toulouse,1,1
21/12/2025,766u0no9nkh421ckis2p27jtg,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/766u0no9nkh421ckis2p27jtg,Lyon,Saint-Cyr,3,0
21/12/2025,bjtgvrjzzlwx5l7vv1bhceluc,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/bjtgvrjzzlwx5l7vv1bhceluc,Rennes,Les Sables,3,0
21/12/2025,ccswlv5ne5cjbcnbhtt17t15g,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/ccswlv5ne5cjbcnbhtt17t15g,Orléans,Dieppe,3,0
21/12/2025,74wsss3vety8ha1mf788vkxlg,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/74wsss3vety8ha1mf788vkxlg,Montreuil,Chauvigny,2,1
21/12/2025,7ijhkfbxcm4yrhcfdoh19oges,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/7ijhkfbxcm4yrhcfdoh19oges,Le Puy,Bordeaux,1,0
21/12/2025,d9sgdryslyfnjhn90j5mkcp3o,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/d9sgdryslyfnjhn90j5mkcp3o,Le Havre,Amiens,0,2
21/12/2025,8nzf4wfjaajp3c2gv9q0kehw4,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/8nzf4wfjaajp3c2gv9q0kehw4,Bassin,Hauts Lyonnais,0,1
21/12/2025,aibqmp5ik2d045xn19n9mvl04,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/aibqmp5ik2d045xn19n9mvl04,Strasbourg,Dunkerque,2,1
21/12/2025,47r2biivprimfsoc6evh2cwlw,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/47r2biivprimfsoc6evh2cwlw,Nice,Saint-Étienne,2,1
21/12/2025,cv6hmqxylz1e5ot8lw6tokopg,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/cv6hmqxylz1e5ot8lw6tokopg,Concarneau,Nantes,3,5
21/12/2025,f1hq36wut6is2m7fzpch6flsk,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/f1hq36wut6is2m7fzpch6flsk,Bourg-Péronnas,Marseille,0,6
21/12/2025,86fpeenppz9uup79zn9ft6has,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/86fpeenppz9uup79zn9ft6has,Auxerre,Monaco,1,2
20/12/2025,eisymnqm1vc1i8wsp8duyhd04,https://www.scoresway.com/en_GB/soccer/coupe-de-france-2025-2026/av9aqjwk6jljkwcs7nqmnrv9w/match/view/eisymnqm1vc1i8wsp8duyhd04,Vendée FF,Paris SG,0,4
