date,match_id,url_match,home,away,home_score,away_score
15/03/2026,9hwe5k0b5yv8dfdsquahq8zys,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/dbxs75cag7zyip5re0ppsanmc/match/view/9hwe5k0b5yv8dfdsquahq8zys,Rennes,Lille,1,2
15/03/2026,9hj1424xlip8civkt6hskt2j8,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/dbxs75cag7zyip5re0ppsanmc/match/view/9hj1424xlip8civkt6hskt2j8,Metz,Toulouse,3,4
15/03/2026,9gqu1uh88maw6ttz22uwpjwus,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/dbxs75cag7zyip5re0ppsanmc/match/view/9gqu1uh88maw6ttz22uwpjwus,Le Havre,Lyon,0,0
15/03/2026,9h5ymyb7mkj2jvirmscchc55g,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/dbxs75cag7zyip5re0ppsanmc/match/view/9h5ymyb7mkj2jvirmscchc55g,Strasbourg,Paris FC,0,0
14/03/2026,9ionuokb3g2k1ryu5vbm7b0gk,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/dbxs75cag7zyip5re0ppsanmc/match/view/9ionuokb3g2k1ryu5vbm7b0gk,Monaco,Brest,2,0
14/03/2026,9i9rrqyrywsf4qfqot6a68duc,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/dbxs75cag7zyip5re0ppsanmc/match/view/9i9rrqyrywsf4qfqot6a68duc,Angers,Nice,0,2
14/03/2026,9gdkk8wkbsrfyxckswcmfkd1w,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/dbxs75cag7zyip5re0ppsanmc/match/view/9gdkk8wkbsrfyxckswcmfkd1w,Lorient,Lens,2,1
13/03/2026,9j3m943ydaqhzkip4dm8x36s4,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/dbxs75cag7zyip5re0ppsanmc/match/view/9j3m943ydaqhzkip4dm8x36s4,Marseille,Auxerre,1,0
08/03/2026,9dsdi6019alc3ofkzhs6zusd0,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/dbxs75cag7zyip5re0ppsanmc/match/view/9dsdi6019alc3ofkzhs6zusd0,Lyon,Paris FC,1,1
08/03/2026,9devx8w8zta50tnjtiwkvw9as,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/dbxs75cag7zyip5re0ppsanmc/match/view/9devx8w8zta50tnjtiwkvw9as,Nice,Rennes,0,4
08/03/2026,9eixig78n4sav3qfoboz38qac,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/dbxs75cag7zyip5re0ppsanmc/match/view/9eixig78n4sav3qfoboz38qac,Lille,Lorient,1,1
08/03/2026,9d1i6ix9sinez5um1ic7284d0,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/dbxs75cag7zyip5re0ppsanmc/match/view/9d1i6ix9sinez5um1ic7284d0,Brest,Le Havre,2,0
08/03/2026,9e5nae59jjcp07kxv2w21oe1g,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/dbxs75cag7zyip5re0ppsanmc/match/view/9e5nae59jjcp07kxv2w21oe1g,Lens,Metz,3,0
07/03/2026,9cnzd2zkyjfl8wq39yyawdic4,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/dbxs75cag7zyip5re0ppsanmc/match/view/9cnzd2zkyjfl8wq39yyawdic4,Toulouse,Marseille,0,1
07/03/2026,9ewdmzregj6oqyc4h5wd30fmc,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/dbxs75cag7zyip5re0ppsanmc/match/view/9ewdmzregj6oqyc4h5wd30fmc,Auxerre,Strasbourg,0,0
07/03/2026,9f9kuids3rgqlqx1zhsvfbwus,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/dbxs75cag7zyip5re0ppsanmc/match/view/9f9kuids3rgqlqx1zhsvfbwus,Nantes,Angers,0,1
06/03/2026,9fmvv0tnw20dgmsxz8tdcv0us,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/dbxs75cag7zyip5re0ppsanmc/match/view/9fmvv0tnw20dgmsxz8tdcv0us,Paris SG,Monaco,1,3
01/03/2026,9cath7fgxe906unsmhrhincpg,https://www.scoresway.com/en_GB/soccer/ligue-1-2025-2026/dbxs75cag7zyip5re0ppsanmc/match/view/9cath7fgxe906unsmhrhincpg,Marseille,Lyon,3,2
