date,match_id,url_match,home,away,home_score,away_score
05/04/2026,e3fldh0urwa9q8vmaxn3khsk,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/e3fldh0urwa9q8vmaxn3khsk,Frankfurt,Köln,2,2
05/04/2026,g2e9l56j5uracp5d1dc17kt0,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/g2e9l56j5uracp5d1dc17kt0,Union Berlin,St. Pauli,1,1
04/04/2026,f9p6jq6t9ykow3vrcstmoqhg,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/f9p6jq6t9ykow3vrcstmoqhg,Stuttgart,Dortmund,0,2
04/04/2026,fnux4y2stztramsb1ph120wk,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/fnux4y2stztramsb1ph120wk,M'gladbach,Heidenheim,2,2
04/04/2026,dp7syb7rm0b1rufy9y0jhhjo,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/dp7syb7rm0b1rufy9y0jhhjo,Leverkusen,Wolfsburg,6,3
04/04/2026,ggixvkizh5mys4yi21umzc44,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/ggixvkizh5mys4yi21umzc44,Hoffenheim,Mainz 05,1,2
04/04/2026,gyjx94ra6o17vyeqpbqoe61g,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/gyjx94ra6o17vyeqpbqoe61g,Hamburg,Augsburg,1,1
04/04/2026,ehm6p0fs4lr0jykl70umuuxg,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/ehm6p0fs4lr0jykl70umuuxg,Freiburg,Bayern München,2,3
04/04/2026,evkygv6vtxb2w8xxfz6w5fkk,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/evkygv6vtxb2w8xxfz6w5fkk,Bremen,Leipzig,1,2
22/03/2026,c2jl259mxclm0afht8mu5pg4,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/c2jl259mxclm0afht8mu5pg4,Augsburg,Stuttgart,2,5
22/03/2026,cgq5h1fz7sm71cfnxdnn3j10,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/cgq5h1fz7sm71cfnxdnn3j10,St. Pauli,Freiburg,1,2
22/03/2026,avzo5ktl8b1vckxemqjascus,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/avzo5ktl8b1vckxemqjascus,Mainz 05,Frankfurt,2,1
21/03/2026,ahx3vefja6189aevg06cr85w,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/ahx3vefja6189aevg06cr85w,Dortmund,Hamburg,3,2
21/03/2026,boe8da0rdeitunb1itudqs5w,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/boe8da0rdeitunb1itudqs5w,Wolfsburg,Bremen,0,1
21/03/2026,db5upv91b433ua0dt4ikfok4,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/db5upv91b433ua0dt4ikfok4,Köln,M'gladbach,3,3
21/03/2026,cwig29wo7w2jpd0ylaly9x5g,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/cwig29wo7w2jpd0ylaly9x5g,Heidenheim,Leverkusen,3,3
21/03/2026,a3tfed5xgxj5gkl86avipxxw,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/a3tfed5xgxj5gkl86avipxxw,Bayern München,Union Berlin,4,0
20/03/2026,ba7avwl1nake8cdgxapqhlp0,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/ba7avwl1nake8cdgxapqhlp0,Leipzig,Hoffenheim,5,0
15/03/2026,8jtwam679udusbvzwv2egi6s,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/8jtwam679udusbvzwv2egi6s,Stuttgart,Leipzig,1,0
15/03/2026,7r14isj1f999evgg9xt7ydxw,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/7r14isj1f999evgg9xt7ydxw,Freiburg,Union Berlin,0,1
15/03/2026,85awldjeh348ic7lb2w5o8ic,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/85awldjeh348ic7lb2w5o8ic,Bremen,Mainz 05,0,2
14/03/2026,9ptt4q4yf243qpdy4rmaov84,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/9ptt4q4yf243qpdy4rmaov84,Hamburg,Köln,1,1
14/03/2026,6iwuctjhrb4sgvixyct6o4d0,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/6iwuctjhrb4sgvixyct6o4d0,Leverkusen,Bayern München,1,1
14/03/2026,9bvn15vzszp543tczmnexv6c,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/9bvn15vzszp543tczmnexv6c,Hoffenheim,Wolfsburg,1,1
14/03/2026,6wxbl3ny3dep100yrlxfqvpw,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/6wxbl3ny3dep100yrlxfqvpw,Frankfurt,Heidenheim,1,0
14/03/2026,7b0cleocj8pf0vgwpuujrd3o,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/7b0cleocj8pf0vgwpuujrd3o,Dortmund,Augsburg,2,0
13/03/2026,8xuj6g94l6vcnuong5l3l8no,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/8xuj6g94l6vcnuong5l3l8no,M'gladbach,St. Pauli,2,0
08/03/2026,4ybfeqfnqtumfk43wp2pbj10,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/4ybfeqfnqtumfk43wp2pbj10,Union Berlin,Bremen,1,4
08/03/2026,5cg2ogliqetb62pda6x9pf6c,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/5cg2ogliqetb62pda6x9pf6c,St. Pauli,Frankfurt,0,0
07/03/2026,64rcfjpjgw65g6zd8iu42ot0,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/64rcfjpjgw65g6zd8iu42ot0,Köln,Dortmund,1,2
07/03/2026,4k4i6bm2e1nx3y1cdw9scums,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/4k4i6bm2e1nx3y1cdw9scums,Wolfsburg,Hamburg,1,2
07/03/2026,3rybbdyy7myrktd169rdr0us,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/3rybbdyy7myrktd169rdr0us,Mainz 05,Stuttgart,2,2
07/03/2026,461qzs6xlzl17sy53gvqt8gk,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/461qzs6xlzl17sy53gvqt8gk,Leipzig,Augsburg,2,1
07/03/2026,5qkzeq3zsf1r6ttbjh5l6e50,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/5qkzeq3zsf1r6ttbjh5l6e50,Heidenheim,Hoffenheim,2,4
07/03/2026,3dvpg0zqnvzgoqj263zl3g9g,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/3dvpg0zqnvzgoqj263zl3g9g,Freiburg,Leverkusen,3,3
06/03/2026,2zt2fwvxiymc7gy4nj2g0owk,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/2zt2fwvxiymc7gy4nj2g0owk,Bayern München,M'gladbach,4,1
01/03/2026,2lx9iok68xltis6waxxaf578,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/2lx9iok68xltis6waxxaf578,Hamburg,Leipzig,1,2
01/03/2026,f5esrxkpcocxsk0umq5p2yoes,https://www.scoresway.com/en_GB/soccer/bundesliga-2025-2026/2bchmrj23l9u42d68ntcekob8/match/view/f5esrxkpcocxsk0umq5p2yoes,Frankfurt,Freiburg,2,0
