date,match_id,url_match,home,away,home_score,away_score
11/02/2026,7o1jdoqfolb02c54bovmzqb6c,https://www.scoresway.com/en_GB/soccer/dfb-pokal-2025-2026/d3y7p0y4366q5chknrlo1t34k/match/view/7o1jdoqfolb02c54bovmzqb6c,Bayern München,Leipzig,2,0
10/02/2026,3st9385b8uoou8rj62hj4nbo,https://www.scoresway.com/en_GB/soccer/dfb-pokal-2025-2026/d3y7p0y4366q5chknrlo1t34k/match/view/3st9385b8uoou8rj62hj4nbo,Hertha BSC,Freiburg,1,1
04/02/2026,tzwqqmf67ro2pc5av382sqac,https://www.scoresway.com/en_GB/soccer/dfb-pokal-2025-2026/d3y7p0y4366q5chknrlo1t34k/match/view/tzwqqmf67ro2pc5av382sqac,Holstein,Stuttgart,0,3
03/02/2026,1zfr7ljuao1yvi3md3orpyf4k,https://www.scoresway.com/en_GB/soccer/dfb-pokal-2025-2026/d3y7p0y4366q5chknrlo1t34k/match/view/1zfr7ljuao1yvi3md3orpyf4k,Leverkusen,St. Pauli,3,0
03/12/2025,9i03axxevr2rffyaby2hlibys,https://www.scoresway.com/en_GB/soccer/dfb-pokal-2025-2026/d3y7p0y4366q5chknrlo1t34k/match/view/9i03axxevr2rffyaby2hlibys,Union Berlin,Bayern München,2,3
03/12/2025,69vd2ypatwt75ykhrvrknmk2c,https://www.scoresway.com/en_GB/soccer/dfb-pokal-2025-2026/d3y7p0y4366q5chknrlo1t34k/match/view/69vd2ypatwt75ykhrvrknmk2c,Hamburg,Holstein,1,1
03/12/2025,2e2dq84jvht2tg7lae9zfm9sk,https://www.scoresway.com/en_GB/soccer/dfb-pokal-2025-2026/d3y7p0y4366q5chknrlo1t34k/match/view/2e2dq84jvht2tg7lae9zfm9sk,Freiburg,Darmstadt 98,2,0
03/12/2025,1fh5hd3xi3e43oiq4akwron4k,https://www.scoresway.com/en_GB/soccer/dfb-pokal-2025-2026/d3y7p0y4366q5chknrlo1t34k/match/view/1fh5hd3xi3e43oiq4akwron4k,Bochum,Stuttgart,0,2
02/12/2025,3gzdt4tdrnfxs3rpk2fc2y9ec,https://www.scoresway.com/en_GB/soccer/dfb-pokal-2025-2026/d3y7p0y4366q5chknrlo1t34k/match/view/3gzdt4tdrnfxs3rpk2fc2y9ec,Leipzig,Magdeburg,3,1
02/12/2025,590lcj84tcznr5jyx8epo3x1w,https://www.scoresway.com/en_GB/soccer/dfb-pokal-2025-2026/d3y7p0y4366q5chknrlo1t34k/match/view/590lcj84tcznr5jyx8epo3x1w,Dortmund,Leverkusen,0,1
