date,match_id,url_match,home,away,home_score,away_score
25/04/2026,c5e2wi43bkoerqgf7nnfj8gt0,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/bd7mwbg9dlz7lu9q8afv1jg9g/match/view/c5e2wi43bkoerqgf7nnfj8gt0,PAOK,OFI,2,3
11/02/2026,51exzzmys3s4cjlfb8saqk1ec,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/bd7mwbg9dlz7lu9q8afv1jg9g/match/view/51exzzmys3s4cjlfb8saqk1ec,PAOK,Panathinaikos,2,0
11/02/2026,526edktdofgwma8makfra1r84,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/bd7mwbg9dlz7lu9q8afv1jg9g/match/view/526edktdofgwma8makfra1r84,Levadiakos,OFI,0,1
04/02/2026,52xm4e6nlg9ly5hqe6afchjpw,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/bd7mwbg9dlz7lu9q8afv1jg9g/match/view/52xm4e6nlg9ly5hqe6afchjpw,Panathinaikos,PAOK,0,1
04/02/2026,53oqqt7t6dcbgbh0o6wmw5p1w,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/bd7mwbg9dlz7lu9q8afv1jg9g/match/view/53oqqt7t6dcbgbh0o6wmw5p1w,OFI,Levadiakos,1,1
14/01/2026,8k3ikvbolvl3qvk92j9xfuqs4,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/bd7mwbg9dlz7lu9q8afv1jg9g/match/view/8k3ikvbolvl3qvk92j9xfuqs4,Panathinaikos,Aris,3,0
14/01/2026,8ic7j4cojvsn12zqvs8qx17o4,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/bd7mwbg9dlz7lu9q8afv1jg9g/match/view/8ic7j4cojvsn12zqvs8qx17o4,Olympiakos,PAOK,0,2
14/01/2026,8jj5rial9lj2x3qi6kmlg2n84,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/bd7mwbg9dlz7lu9q8afv1jg9g/match/view/8jj5rial9lj2x3qi6kmlg2n84,AEK Athens,OFI,0,1
14/01/2026,8izdn6flof8eu8rq56hhh9b84,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/bd7mwbg9dlz7lu9q8afv1jg9g/match/view/8izdn6flof8eu8rq56hhh9b84,Levadiakos,Kifisia,2,0
07/01/2026,1v99qyq3wngl5ol9wd9ssu2vo,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/bd7mwbg9dlz7lu9q8afv1jg9g/match/view/1v99qyq3wngl5ol9wd9ssu2vo,OFI,Asteras,2,0
06/01/2026,1vjs0i7irjhewwh0y141nihw4,https://www.scoresway.com/en_GB/soccer/cup-2025-2026/bd7mwbg9dlz7lu9q8afv1jg9g/match/view/1vjs0i7irjhewwh0y141nihw4,PAOK,Atromitos,1,1
