date,match_id,url_match,home,away,home_score,away_score
15/03/2026,80txs8gs7dtk345e4s93xomqc,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/80txs8gs7dtk345e4s93xomqc,Panathinaikos,Panaitolikos,0,0
15/03/2026,7znqh905zrvfcbwxnm5ud7thw,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7znqh905zrvfcbwxnm5ud7thw,Atromitos,AEK Athens,2,2
15/03/2026,81lypxi5625o5gph9odcesr2s,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/81lypxi5625o5gph9odcesr2s,PAOK,Levadiakos,3,0
15/03/2026,801s9vdxxtpebbv7q7ebuledw,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/801s9vdxxtpebbv7q7ebuledw,Kifisia,Volos,2,0
14/03/2026,7z9nq7dez3oncu766j8aqxdsk,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7z9nq7dez3oncu766j8aqxdsk,Larissa,Asteras,1,1
14/03/2026,817vc26pttq8oshtlh098dnv8,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/817vc26pttq8oshtlh098dnv8,Panserraikos,Aris,0,0
14/03/2026,80fyndhq5d0xmazqwjpmzwt1w,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/80fyndhq5d0xmazqwjpmzwt1w,OFI,Olympiakos,0,3
09/03/2026,7yvik0zwxwgk6safv2ad8h9g4,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7yvik0zwxwgk6safv2ad8h9g4,Panaitolikos,Kifisia,2,1
08/03/2026,7yhju87189y1exwkhwzlzct90,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7yhju87189y1exwkhwzlzct90,Olympiakos,PAOK,0,0
08/03/2026,7y3hl2ifshogx2nq7abh9qql0,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7y3hl2ifshogx2nq7abh9qql0,Levadiakos,Panathinaikos,1,4
08/03/2026,7xpir030uszlmfam4u74xbytw,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7xpir030uszlmfam4u74xbytw,Volos,OFI,1,1
08/03/2026,7wv6t3jmzloyd0xqodf3nzeac,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7wv6t3jmzloyd0xqodf3nzeac,Asteras,Panserraikos,0,1
07/03/2026,7whb1frff23x1pblywom0093o,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7whb1frff23x1pblywom0093o,AEK Athens,Larissa,1,0
07/03/2026,7xbnntikjzvz4ywmui1cqpixg,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7xbnntikjzvz4ywmui1cqpixg,Aris,Atromitos,0,0
01/03/2026,7vbi5d7qu0030sxcjw4l4svf8,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7vbi5d7qu0030sxcjw4l4svf8,Panathinaikos,Aris,3,1
01/03/2026,7w3da8lykw1gt4wovb159fl78,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7w3da8lykw1gt4wovb159fl78,PAOK,Asteras,2,0
01/03/2026,7u5kgvbrhurd0vmbozpj272fo,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7u5kgvbrhurd0vmbozpj272fo,Volos,AEK Athens,2,2
01/03/2026,7vpjkejzkzpg4qmn4cbah474k,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7vpjkejzkzpg4qmn4cbah474k,Panserraikos,Olympiakos,1,2
28/02/2026,7uji0v8ge65lmpmruwckgh2c4,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7uji0v8ge65lmpmruwckgh2c4,Kifisia,Levadiakos,1,0
28/02/2026,7trnwhzcla4tgn1hu3yshwopg,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7trnwhzcla4tgn1hu3yshwopg,Atromitos,Panaitolikos,1,0
28/02/2026,7uxkj9rvhf4x9bnz0cgsv7i1g,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7uxkj9rvhf4x9bnz0cgsv7i1g,OFI,Larissa,3,0
22/02/2026,7qzoo9beqxntynhc95nbznx1w,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7qzoo9beqxntynhc95nbznx1w,AEK Athens,Levadiakos,4,0
22/02/2026,7s7k4isnoza62i63w377k95w4,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7s7k4isnoza62i63w377k95w4,Aris,Kifisia,1,1
22/02/2026,7rrv2e9ongkyh21blx4pd9y50,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7rrv2e9ongkyh21blx4pd9y50,Larissa,PAOK,1,1
22/02/2026,7tdl9f3dxnd8m0r2sqjfq4e1g,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7tdl9f3dxnd8m0r2sqjfq4e1g,Panserraikos,Volos,2,1
22/02/2026,7szhk6ylfrjptpf8kektf5mvo,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7szhk6ylfrjptpf8kektf5mvo,OFI,Panathinaikos,0,2
21/02/2026,7slldzs5veqyciku9cbmnbz84,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7slldzs5veqyciku9cbmnbz84,Olympiakos,Panaitolikos,2,0
21/02/2026,7rds6v46x5wltlcpfmyyboidw,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7rds6v46x5wltlcpfmyyboidw,Asteras,Atromitos,1,2
16/02/2026,7o9te0qnngi8pign2mu9dda8k,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7o9te0qnngi8pign2mu9dda8k,Atromitos,Panserraikos,2,2
15/02/2026,7ptvuf7kq8w7zsrbxzlwf13bo,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7ptvuf7kq8w7zsrbxzlwf13bo,Panathinaikos,Larissa,1,1
15/02/2026,7qlr17iullpjwd8om5imraadw,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7qlr17iullpjwd8om5imraadw,PAOK,AEK Athens,0,0
15/02/2026,7p1qahdid0dilgrqf9ge1fcic,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7p1qahdid0dilgrqf9ge1fcic,Kifisia,OFI,2,2
14/02/2026,7onp1kg1oxlcyb57aig17h6hg,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7onp1kg1oxlcyb57aig17h6hg,Volos,Aris,1,1
14/02/2026,7pfssyosar71y7trokf22vbis,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7pfssyosar71y7trokf22vbis,Levadiakos,Olympiakos,0,0
14/02/2026,7q7sfv6ayso27d4f514dj70no,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7q7sfv6ayso27d4f514dj70no,Panaitolikos,Asteras,3,1
08/02/2026,7n3jczq0rrcv9hfpcl0nqag44,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7n3jczq0rrcv9hfpcl0nqag44,Olympiakos,Panathinaikos,0,1
08/02/2026,7m9knem34zz9825g14efw1mvo,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7m9knem34zz9825g14efw1mvo,Aris,PAOK,0,0
08/02/2026,7nhp1myg01lmmircqclfirfo4,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7nhp1myg01lmmircqclfirfo4,OFI,Levadiakos,3,2
08/02/2026,7nvrjjkmujxesjeu9n90gwv84,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7nvrjjkmujxesjeu9n90gwv84,Panserraikos,AEK Athens,0,4
07/02/2026,7mnqp3oq5u2tvt3obv6aoo36c,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7mnqp3oq5u2tvt3obv6aoo36c,Kifisia,Atromitos,0,1
07/02/2026,7lha661p2kn0k161u0xiq6s5w,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7lha661p2kn0k161u0xiq6s5w,Asteras,Volos,2,0
07/02/2026,7lvfgeskf5jcnlorcehfu2fpw,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7lvfgeskf5jcnlorcehfu2fpw,Larissa,Panaitolikos,1,4
01/02/2026,7ir865pgu0zduabwshen6309g,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7ir865pgu0zduabwshen6309g,AEK Athens,Olympiakos,1,1
01/02/2026,7l388uobz97nt5c7e06w1lg5w,https://www.scoresway.com/en_GB/soccer/super-league-1-2025-2026/bfxnqtcsy92klp10rbwikb47o/match/view/7l388uobz97nt5c7e06w1lg5w,PAOK,Panserraikos,4,1
