date,match_id,url_match,home,away,home_score,away_score
03/03/2026,3gqwvmig5roaq4qkddtgvp8gk,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/3gqwvmig5roaq4qkddtgvp8gk,Barcelona,Atlético,3,0
12/02/2026,1z8gknoiuoiuh7z1mto3je9ec,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/1z8gknoiuoiuh7z1mto3je9ec,Atlético,Barcelona,4,0
11/02/2026,4880ai1mmililnbcp1xmcglqs,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/4880ai1mmililnbcp1xmcglqs,Athletic,Real Sociedad,0,1
05/02/2026,5yy4bdgdj17um5ha1sdeangno,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/5yy4bdgdj17um5ha1sdeangno,Betis,Atlético,0,5
04/02/2026,2lu1xazmwzdxeo5vjvuylo3ro,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/2lu1xazmwzdxeo5vjvuylo3ro,Valencia,Athletic,1,2
04/02/2026,aawbdgstl0tpmar4nligpu3h0,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/aawbdgstl0tpmar4nligpu3h0,Alavés,Real Sociedad,2,3
03/02/2026,433pzlem1yzj0ac0mg58m4x04,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/433pzlem1yzj0ac0mg58m4x04,Albacete,Barcelona,1,2
15/01/2026,62gdakw1aqqhoomsor9xrhg4,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/62gdakw1aqqhoomsor9xrhg4,Santander,Barcelona,0,2
15/01/2026,7v1colm0qzni588j1u2tk8f10,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/7v1colm0qzni588j1u2tk8f10,Burgos,Valencia,0,2
14/01/2026,9vl4rkferbf1faa4z4ofouas4,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/9vl4rkferbf1faa4z4ofouas4,Betis,Elche,2,1
14/01/2026,4s9hakcrexipnkgicm1o5ugwk,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/4s9hakcrexipnkgicm1o5ugwk,Albacete,Real Madrid,3,2
14/01/2026,csenykde6i41tzwesnlqxa978,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/csenykde6i41tzwesnlqxa978,Alavés,Rayo,2,0
13/01/2026,brn7outu860qlg6ibft1zc0t0,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/brn7outu860qlg6ibft1zc0t0,Real Sociedad,Osasuna,2,2
13/01/2026,a41mom9evusrod8fnkr9ijnys,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/a41mom9evusrod8fnkr9ijnys,Deportivo,Atlético,0,1
13/01/2026,2qx844dk3zbcm1lmyy0me3c44,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/2qx844dk3zbcm1lmyy0me3c44,Cultural,Athletic,3,4
06/01/2026,jnrdmqftw7gbsskfu6b9o5ck,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/jnrdmqftw7gbsskfu6b9o5ck,Granada,Rayo,1,3
18/12/2025,87p80lmiquvoi9qt80h2q8jdg,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/87p80lmiquvoi9qt80h2q8jdg,Murcia,Betis,0,2
18/12/2025,7ll1e58hzb5wmz8y2mvombevo,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/7ll1e58hzb5wmz8y2mvombevo,Ourense,Athletic,0,1
18/12/2025,c9ls9nq0s53py25in03a0fpck,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/c9ls9nq0s53py25in03a0fpck,Burgos,Getafe,3,1
17/12/2025,3yrub0p9n1jsedgdtcflwd0,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/3yrub0p9n1jsedgdtcflwd0,Talavera,Real Madrid,2,3
17/12/2025,9eh5dd3i3dxxgo9p9f4fupp90,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/9eh5dd3i3dxxgo9p9f4fupp90,Alavés,Sevilla,1,0
17/12/2025,1z0djbqak2e4g0x1z6jefou8k,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/1z0djbqak2e4g0x1z6jefou8k,Santander,Villarreal,2,1
17/12/2025,40nm6yqunw1d2s3mgj9gwtmac,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/40nm6yqunw1d2s3mgj9gwtmac,Huesca,Osasuna,2,4
17/12/2025,bgi3y0yndjeunlxpwtf3no5qs,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/bgi3y0yndjeunlxpwtf3no5qs,Baleares,Atlético,2,3
17/12/2025,6a5zmym6qiqzfmpkemdpbq0wk,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/6a5zmym6qiqzfmpkemdpbq0wk,Albacete,Celta,2,2
17/12/2025,doaddheuuavuxagewch9xo5ck,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/doaddheuuavuxagewch9xo5ck,Cultural,Levante,1,0
16/12/2025,3sx6fp8e2gg1kinflvk8ejg2c,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/3sx6fp8e2gg1kinflvk8ejg2c,Guadalajara,Barcelona,0,2
16/12/2025,2xf343t95yk9c2y6enrvqctg4,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/2xf343t95yk9c2y6enrvqctg4,Gijón,Valencia,0,2
16/12/2025,9w1issut14qoj6ok1t2kgvmz8,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/9w1issut14qoj6ok1t2kgvmz8,Eldense,Real Sociedad,1,2
16/12/2025,evhleb7zg2686ng9fu03i8h04,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/evhleb7zg2686ng9fu03i8h04,Eibar,Elche,0,1
16/12/2025,wh33zs2aeath1xbmqcsg6cr8,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/wh33zs2aeath1xbmqcsg6cr8,Deportivo,Mallorca,1,0
04/12/2025,b71bsrtxxuhlao68y0ofnzeac,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/b71bsrtxxuhlao68y0ofnzeac,Tenerife,Granada,0,1
04/12/2025,26qmtheo9w05upnme9zrt85ck,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/26qmtheo9w05upnme9zrt85ck,Zaragoza,Burgos,0,1
04/12/2025,5a5wx4mhii00gkd3uhqc9udw,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/5a5wx4mhii00gkd3uhqc9udw,Sant Andreu,Celta,1,1
04/12/2025,7aze8ukqhlv9rmxegyq1nu9ec,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/7aze8ukqhlv9rmxegyq1nu9ec,Extremadura 24,Sevilla,1,2
04/12/2025,3k4ur12o6y0v47ndzh43agxzo,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/3k4ur12o6y0v47ndzh43agxzo,Cartagena,Valencia,1,2
04/12/2025,c6bhvgkyhijdhzaa8oslwpwr8,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/c6bhvgkyhijdhzaa8oslwpwr8,Ponferradina,Santander,1,2
04/12/2025,1wn3dfp28m3eudrz01icuxhqs,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/1wn3dfp28m3eudrz01icuxhqs,Ávila,Rayo,1,2
04/12/2025,7fah0qvbymv2kb8ztuq9aubys,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/7fah0qvbymv2kb8ztuq9aubys,Sabadell,Deportivo,0,2
04/12/2025,cpu3rskimda8shr1jf6oq1ams,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/cpu3rskimda8shr1jf6oq1ams,Leganés,Albacete,1,2
04/12/2025,1q0cer27qzyfuuoay8l26em8k,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2025-2026/3lmujqli8r9m12i28wgjxnnys/match/view/1q0cer27qzyfuuoay8l26em8k,Baleares,Espanyol,1,0
