date,match_id,url_match,home,away,home_score,away_score
26/02/2026,453a5quhnx4fwbht2ftcbx5p0,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/453a5quhnx4fwbht2ftcbx5p0,Lech,KuPS,1,0
26/02/2026,45ximnuohfvke53afh8fulu6s,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/45ximnuohfvke53afh8fulu6s,Lausanne,Olomouc,1,2
26/02/2026,45dfao1ky5ija9f3482m1jk7o,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/45dfao1ky5ija9f3482m1jk7o,Crystal Palace,Zrinjski,2,0
26/02/2026,468zoo4gi5g2fd7lf75gftjbo,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/468zoo4gi5g2fd7lf75gftjbo,AZ,Noah,4,0
26/02/2026,45nb3j74cmiqjb92tl3ztc6qc,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/45nb3j74cmiqjb92tl3ztc6qc,Samsunspor,Shkendija,4,0
26/02/2026,473crhripg0drhfzxgwdxvvh0,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/473crhripg0drhfzxgwdxvvh0,Rijeka,Omonia,3,1
26/02/2026,46j2me2dhxn8whsli0epyaj9w,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/46j2me2dhxn8whsli0epyaj9w,Fiorentina,Jagiellonia,2,4
26/02/2026,46t9mtysy3o6f68a1phpdin10,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/46t9mtysy3o6f68a1phpdin10,Celje,Drita,3,2
19/02/2026,43ewyq4wc7yxicsl6g5m3ojys,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/43ewyq4wc7yxicsl6g5m3ojys,Shkendija,Samsunspor,0,1
19/02/2026,44t5w53dgn3qes8rhj6eemas4,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/44t5w53dgn3qes8rhj6eemas4,Omonia,Rijeka,0,1
19/02/2026,448vj02e1r1fys0l9mi7p1bmc,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/448vj02e1r1fys0l9mi7p1bmc,Jagiellonia,Fiorentina,0,3
19/02/2026,44j30wjx5lkjq00vbn61x0cus,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/44j30wjx5lkjq00vbn61x0cus,Drita,Celje,2,3
19/02/2026,434scc581n8b0a85z58xqomj8,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/434scc581n8b0a85z58xqomj8,Zrinjski,Crystal Palace,1,1
19/02/2026,43ovwodl6anclqkhi9z0skopg,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/43ovwodl6anclqkhi9z0skopg,Olomouc,Lausanne,1,1
19/02/2026,43ytc78xbprphh8pe0m6qebys,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/43ytc78xbprphh8pe0m6qebys,Noah,AZ,1,0
19/02/2026,42rgyonwkds83alymw28m6l1w,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/42rgyonwkds83alymw28m6l1w,KuPS,Lech,0,2
18/12/2025,174r2i8kr1q3r6bb53ai5m32s,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/174r2i8kr1q3r6bb53ai5m32s,Zrinjski,Rapid,1,1
18/12/2025,18ljqm2ph078oh5e49hejzvo4,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/18ljqm2ph078oh5e49hejzvo4,Strasbourg,Breidablik,3,1
18/12/2025,1446w3xduyuqjb09a6iubux3o,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/1446w3xduyuqjb09a6iubux3o,Sparta,Aberdeen,3,0
18/12/2025,1a2ll6qxebeuu8melbkjir310,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/1a2ll6qxebeuu8melbkjir310,Slovan,Häcken,1,0
18/12/2025,19c08o5bq9tjjgs0u4fyjbdw4,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/19c08o5bq9tjjgs0u4fyjbdw4,Shamrock,Hamrun,3,1
18/12/2025,160t0pir1ksnrxezige7n6yac,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/160t0pir1ksnrxezige7n6yac,Shakhtar D,Rijeka,0,0
18/12/2025,18yt5clazkhbzyoy32kxxmnmc,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/18yt5clazkhbzyoy32kxxmnmc,Rayo,Drita,3,0
18/12/2025,188f1p8bhkbv75cifpp5rt6ok,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/188f1p8bhkbv75cifpp5rt6ok,Omonia,Raków,0,1
18/12/2025,19pbx3bk80yjk40yotsf4ymfo,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/19pbx3bk80yjk40yotsf4ymfo,Olomouc,Lech,1,2
18/12/2025,13r2exyg9t4sabb5g5qekzlzo,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/13r2exyg9t4sabb5g5qekzlzo,Mainz 05,Samsunspor,2,0
18/12/2025,17i0zg0frfvyzgykvm3j8tc0k,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/17i0zg0frfvyzgykvm3j8tc0k,Legia,Red Imps,4,1
18/12/2025,16rdynnq305pbpbuuvoe4ibdg,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/16rdynnq305pbpbuuvoe4ibdg,Lausanne,Fiorentina,1,0
18/12/2025,16e69ef80x15wxs87z4zuvl04,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/16e69ef80x15wxs87z4zuvl04,Dynamo Kyiv,Noah,2,0
18/12/2025,15lvlkswslqffal1y1f4eecr8,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/15lvlkswslqffal1y1f4eecr8,Crystal Palace,KuPS,2,2
18/12/2025,17v8p1u4w8lbx6dp2sh1znyms,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/17v8p1u4w8lbx6dp2sh1znyms,Celje,Shelbourne,0,0
18/12/2025,158cyzistrlzstzijx7j3mihg,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/158cyzistrlzstzijx7j3mihg,AZ,Jagiellonia,0,0
18/12/2025,14v3qk13pwy2zj9n1paww1ses,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/14v3qk13pwy2zj9n1paww1ses,AEK Larnaca,Shkendija,1,0
18/12/2025,14hbkxkjxzoh98pej7byx85ck,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/14hbkxkjxzoh98pej7byx85ck,AEK Athens,U Craiova,3,2
11/12/2025,130dnsyhpllrns9i9r6zansic,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/130dnsyhpllrns9i9r6zansic,Shelbourne,Crystal Palace,0,3
11/12/2025,115q9qska7z32ivhs9zm3fy8k,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/115q9qska7z32ivhs9zm3fy8k,Rijeka,Celje,3,0
11/12/2025,129k9xnyk0g19xhjf1ab7d9uc,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/129k9xnyk0g19xhjf1ab7d9uc,Red Imps,Olomouc,2,1
11/12/2025,13dowbvhlffq16kdem4mtyolw,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/13dowbvhlffq16kdem4mtyolw,Rapid,Omonia,0,1
11/12/2025,12n7jy7cqor46z0xg6h1zhn2s,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/12n7jy7cqor46z0xg6h1zhn2s,Raków,Zrinjski,1,0
11/12/2025,11j31ligwt0uaqea05zcu3wno,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/11j31ligwt0uaqea05zcu3wno,Lech,Mainz 05,1,1
11/12/2025,11wd4t15656mxgmj89l9f1f6c,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/11wd4t15656mxgmj89l9f1f6c,KuPS,Lausanne,0,0
11/12/2025,10p2n0emhfc39avghg2mia5uc,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/10p2n0emhfc39avghg2mia5uc,Hamrun,Shakhtar D,0,2
11/12/2025,10bvemuggtm9dpyfh0qno1us4,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/10bvemuggtm9dpyfh0qno1us4,Aberdeen,Strasbourg,0,1
11/12/2025,zyoomay602cduq8luve2v21g,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/zyoomay602cduq8luve2v21g,U Craiova,Sparta,1,2
11/12/2025,z83vyx1zvszdtsq61q5abt3o,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/z83vyx1zvszdtsq61q5abt3o,Shkendija,Slovan,2,0
11/12/2025,zlee919njgaqrvnkwpg40mj8,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/zlee919njgaqrvnkwpg40mj8,Samsunspor,AEK Athens,1,2
11/12/2025,yhb6at9cuscieut47c5jto2c,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/yhb6at9cuscieut47c5jto2c,Noah,Legia,2,1
11/12/2025,yurnoj407c12fmwzyechs4d0,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/yurnoj407c12fmwzyechs4d0,Jagiellonia,Rayo,1,2
11/12/2025,xddpvpvgeylrkmu4x06g7w2c,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/xddpvpvgeylrkmu4x06g7w2c,Häcken,AEK Larnaca,1,1
11/12/2025,x05gw6c0ideyglnwtzaexvys,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/x05gw6c0ideyglnwtzaexvys,Fiorentina,Dynamo Kyiv,2,1
11/12/2025,y416jwgousi1c4qjtpg2rbpw,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/y416jwgousi1c4qjtpg2rbpw,Drita,AZ,0,3
11/12/2025,xqnhdemfgy2igsiwy1qv9wyc,https://www.scoresway.com/en_GB/soccer/uefa-conference-league-2025-2026/7x2zp2hm4p6wuijwdw3h7a8t0/match/view/xqnhdemfgy2igsiwy1qv9wyc,Breidablik,Shamrock,3,1
