date,match_id,url_match,home,away,home_score,away_score
30/04/2026,4s1j8zbtq6xrx54huc8btmgic,https://www.scoresway.com/en_GB/soccer/uefa-europa-league-2025-2026/7ttpe5jzya3vjhjadiemjy7mc/match/view/4s1j8zbtq6xrx54huc8btmgic,Nottm Forest,Aston Villa,1,0
30/04/2026,3zhrwpftvyvhw7klt94yiii38,https://www.scoresway.com/en_GB/soccer/uefa-europa-league-2025-2026/7ttpe5jzya3vjhjadiemjy7mc/match/view/3zhrwpftvyvhw7klt94yiii38,Braga,Freiburg,2,1
16/04/2026,8wgjv10r7q0ncb0whgthlcg7o,https://www.scoresway.com/en_GB/soccer/uefa-europa-league-2025-2026/7ttpe5jzya3vjhjadiemjy7mc/match/view/8wgjv10r7q0ncb0whgthlcg7o,Nottm Forest,Porto,1,0
16/04/2026,5adlvuesdb4axljrp95addixg,https://www.scoresway.com/en_GB/soccer/uefa-europa-league-2025-2026/7ttpe5jzya3vjhjadiemjy7mc/match/view/5adlvuesdb4axljrp95addixg,Betis,Braga,2,4
16/04/2026,9ur6e6w5f4ahyxph7ef4rks2c,https://www.scoresway.com/en_GB/soccer/uefa-europa-league-2025-2026/7ttpe5jzya3vjhjadiemjy7mc/match/view/9ur6e6w5f4ahyxph7ef4rks2c,Aston Villa,Bologna,4,0
16/04/2026,74xqdzcu4z3ulfqxeankk213o,https://www.scoresway.com/en_GB/soccer/uefa-europa-league-2025-2026/7ttpe5jzya3vjhjadiemjy7mc/match/view/74xqdzcu4z3ulfqxeankk213o,Celta,Freiburg,1,3
09/04/2026,2t2p3gsy05xspl2gxv7w0crh0,https://www.scoresway.com/en_GB/soccer/uefa-europa-league-2025-2026/7ttpe5jzya3vjhjadiemjy7mc/match/view/2t2p3gsy05xspl2gxv7w0crh0,Porto,Nottm Forest,1,1
09/04/2026,1oxvz5zn076q238sqwo1e6s5w,https://www.scoresway.com/en_GB/soccer/uefa-europa-league-2025-2026/7ttpe5jzya3vjhjadiemjy7mc/match/view/1oxvz5zn076q238sqwo1e6s5w,Freiburg,Celta,3,0
09/04/2026,3y91hnyfjh24yxjhm77a7hy50,https://www.scoresway.com/en_GB/soccer/uefa-europa-league-2025-2026/7ttpe5jzya3vjhjadiemjy7mc/match/view/3y91hnyfjh24yxjhm77a7hy50,Bologna,Aston Villa,1,3
08/04/2026,5sb3nsdbez1j927jb73rc74k,https://www.scoresway.com/en_GB/soccer/uefa-europa-league-2025-2026/7ttpe5jzya3vjhjadiemjy7mc/match/view/5sb3nsdbez1j927jb73rc74k,Braga,Betis,1,1
