date,match_id,url_match,home,away,home_score,away_score
31/01/2026,26p4gv6nxij3gqaoea17rxct0,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/26p4gv6nxij3gqaoea17rxct0,Elche,Barcelona,1,3
25/01/2026,257ci0bd6g6l3uk1fn5a0ob2s,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/257ci0bd6g6l3uk1fn5a0ob2s,Barcelona,Oviedo,3,0
18/01/2026,20boml0nnzxlvqvyy0ylfxdlg,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/20boml0nnzxlvqvyy0ylfxdlg,Real Sociedad,Barcelona,2,1
02/12/2025,1v9qqviahmnia4ewmzd4aejv8,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/1v9qqviahmnia4ewmzd4aejv8,Barcelona,Atlético,3,1
03/01/2026,1rvgcgz2ftmamcay54gz2qtjo,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/1rvgcgz2ftmamcay54gz2qtjo,Espanyol,Barcelona,0,2
21/12/2025,1oi5jmg0ldrmljyz46todfbpw,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/1oi5jmg0ldrmljyz46todfbpw,Villarreal,Barcelona,0,2
13/12/2025,1myp00g7w796yt6ts8ojdkys4,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/1myp00g7w796yt6ts8ojdkys4,Barcelona,Osasuna,2,0
06/12/2025,1gkqfp2d7qi9h6k34k3mo8zkk,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/1gkqfp2d7qi9h6k34k3mo8zkk,Betis,Barcelona,3,5
29/11/2025,1dk2hnl09qux7z4fqn1qxq238,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/1dk2hnl09qux7z4fqn1qxq238,Barcelona,Alavés,3,1
22/11/2025,1a7radhhole7vfnciarzauq6s,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/1a7radhhole7vfnciarzauq6s,Barcelona,Athletic,4,0
09/11/2025,16t0fdut4ky4b4es7i0trovtg,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/16t0fdut4ky4b4es7i0trovtg,Celta,Barcelona,2,4
02/11/2025,113wccwt50kebz0thqf0fxkpg,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/113wccwt50kebz0thqf0fxkpg,Barcelona,Elche,3,1
26/10/2025,ytxz0i1eppxxqupm27ktuln8,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/ytxz0i1eppxxqupm27ktuln8,Real Madrid,Barcelona,2,1
18/10/2025,txn45zihl3cp2bv3lj5rmot0,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/txn45zihl3cp2bv3lj5rmot0,Barcelona,Girona,2,1
05/10/2025,rbyhgw1kyp0ghg2qpvznvvv8,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/rbyhgw1kyp0ghg2qpvznvvv8,Sevilla,Barcelona,4,1
28/09/2025,mh9g8wbjyoe3ub3ouu0nnsb8,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/mh9g8wbjyoe3ub3ouu0nnsb8,Barcelona,Real Sociedad,2,1
25/09/2025,kkl8x55qltpl4g1v5260df6c,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/kkl8x55qltpl4g1v5260df6c,Oviedo,Barcelona,1,3
21/09/2025,ekk0usjk6blgzpziu4ho01zo,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/ekk0usjk6blgzpziu4ho01zo,Barcelona,Getafe,3,0
