dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
13,,FC Barcelona,UEFA Super Cup,Goalkeeper,Chile,1vn3xi2x6vtjor1bt1ob1vk5x,agh9ifb2mw3ivjusgedj7c3fe,a0f4gtru0oyxmpvty4thc5qkc,3rvp3erpxyi3mxtm9ecvujjrp,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2015-2016/3rvp3erpxyi3mxtm9ecvujjrp/teams/view/agh9ifb2mw3ivjusgedj7c3fe/player/view/1vn3xi2x6vtjor1bt1ob1vk5x
,,FC Barcelona,UEFA Super Cup,Attacker,Spain,2a1bi1okuzvj0ch689nxotgid,agh9ifb2mw3ivjusgedj7c3fe,a0f4gtru0oyxmpvty4thc5qkc,3rvp3erpxyi3mxtm9ecvujjrp,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2015-2016/3rvp3erpxyi3mxtm9ecvujjrp/teams/view/agh9ifb2mw3ivjusgedj7c3fe/player/view/2a1bi1okuzvj0ch689nxotgid
1,,FC Barcelona,UEFA Super Cup,Goalkeeper,Germany,2e55g4q93y382cg7h0yk5rtud,agh9ifb2mw3ivjusgedj7c3fe,a0f4gtru0oyxmpvty4thc5qkc,3rvp3erpxyi3mxtm9ecvujjrp,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2015-2016/3rvp3erpxyi3mxtm9ecvujjrp/teams/view/agh9ifb2mw3ivjusgedj7c3fe/player/view/2e55g4q93y382cg7h0yk5rtud
12,Rafinha,FC Barcelona,UEFA Super Cup,Midfielder,Brazil,3775rpg889ojktofzx1y6jpat,agh9ifb2mw3ivjusgedj7c3fe,a0f4gtru0oyxmpvty4thc5qkc,3rvp3erpxyi3mxtm9ecvujjrp,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2015-2016/3rvp3erpxyi3mxtm9ecvujjrp/teams/view/agh9ifb2mw3ivjusgedj7c3fe/player/view/3775rpg889ojktofzx1y6jpat
18,,FC Barcelona,UEFA Super Cup,Defender,Spain,4o6f3mnd39fx700o3jvj0wct1,agh9ifb2mw3ivjusgedj7c3fe,a0f4gtru0oyxmpvty4thc5qkc,3rvp3erpxyi3mxtm9ecvujjrp,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2015-2016/3rvp3erpxyi3mxtm9ecvujjrp/teams/view/agh9ifb2mw3ivjusgedj7c3fe/player/view/4o6f3mnd39fx700o3jvj0wct1
20,,FC Barcelona,UEFA Super Cup,Midfielder,Spain,4q6kuikopbgls8y2rwqiu415h,agh9ifb2mw3ivjusgedj7c3fe,a0f4gtru0oyxmpvty4thc5qkc,3rvp3erpxyi3mxtm9ecvujjrp,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2015-2016/3rvp3erpxyi3mxtm9ecvujjrp/teams/view/agh9ifb2mw3ivjusgedj7c3fe/player/view/4q6kuikopbgls8y2rwqiu415h
6,Dani Alves,FC Barcelona,UEFA Super Cup,Defender,Brazil,4zeb2v6h4ptz1czuerwvx7ro5,agh9ifb2mw3ivjusgedj7c3fe,a0f4gtru0oyxmpvty4thc5qkc,3rvp3erpxyi3mxtm9ecvujjrp,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2015-2016/3rvp3erpxyi3mxtm9ecvujjrp/teams/view/agh9ifb2mw3ivjusgedj7c3fe/player/view/4zeb2v6h4ptz1czuerwvx7ro5
21,Adriano,FC Barcelona,UEFA Super Cup,Defender,Brazil,5j201oq8wdm5sbjg7jff66rx1,agh9ifb2mw3ivjusgedj7c3fe,a0f4gtru0oyxmpvty4thc5qkc,3rvp3erpxyi3mxtm9ecvujjrp,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2015-2016/3rvp3erpxyi3mxtm9ecvujjrp/teams/view/agh9ifb2mw3ivjusgedj7c3fe/player/view/5j201oq8wdm5sbjg7jff66rx1
,,FC Barcelona,UEFA Super Cup,Midfielder,Croatia,66kplyn4wfzukepup1ws0f1ed,agh9ifb2mw3ivjusgedj7c3fe,a0f4gtru0oyxmpvty4thc5qkc,3rvp3erpxyi3mxtm9ecvujjrp,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2015-2016/3rvp3erpxyi3mxtm9ecvujjrp/teams/view/agh9ifb2mw3ivjusgedj7c3fe/player/view/66kplyn4wfzukepup1ws0f1ed
25,,FC Barcelona,UEFA Super Cup,Goalkeeper,Spain,74gwlzg12wr9pkwmdh9xpa505,agh9ifb2mw3ivjusgedj7c3fe,a0f4gtru0oyxmpvty4thc5qkc,3rvp3erpxyi3mxtm9ecvujjrp,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2015-2016/3rvp3erpxyi3mxtm9ecvujjrp/teams/view/agh9ifb2mw3ivjusgedj7c3fe/player/view/74gwlzg12wr9pkwmdh9xpa505
