dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,Filipe Luís,Club Atlético de Madrid,UEFA Super Cup,Defender,Brazil,1cbahf80ugh5zp2cz92auczit,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,zx630fl2xj8ti5hmpucnhfqh,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2016-2017/zx630fl2xj8ti5hmpucnhfqh/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/1cbahf80ugh5zp2cz92auczit
,Caio Henrique,Club Atlético de Madrid,UEFA Super Cup,Defender,Brazil,1o7se1aziz6fpes5hey7yijft,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,zx630fl2xj8ti5hmpucnhfqh,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2016-2017/zx630fl2xj8ti5hmpucnhfqh/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/1o7se1aziz6fpes5hey7yijft
,Tachi,Club Atlético de Madrid,UEFA Super Cup,Defender,Spain,1uo6ejb6lmi12wu6ra0vozg89,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,zx630fl2xj8ti5hmpucnhfqh,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2016-2017/zx630fl2xj8ti5hmpucnhfqh/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/1uo6ejb6lmi12wu6ra0vozg89
,,Club Atlético de Madrid,UEFA Super Cup,Midfielder,Belgium,20m7tijt8jnedjd4x87olmaqd,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,zx630fl2xj8ti5hmpucnhfqh,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2016-2017/zx630fl2xj8ti5hmpucnhfqh/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/20m7tijt8jnedjd4x87olmaqd
,,Club Atlético de Madrid,UEFA Super Cup,Defender,Uruguay,2bywci4k45xh3xc82dz2kuc45,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,zx630fl2xj8ti5hmpucnhfqh,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2016-2017/zx630fl2xj8ti5hmpucnhfqh/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/2bywci4k45xh3xc82dz2kuc45
,,Club Atlético de Madrid,UEFA Super Cup,Goalkeeper,Slovenia,2yt9oajv9dkbju8tgy1g2nmqd,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,zx630fl2xj8ti5hmpucnhfqh,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2016-2017/zx630fl2xj8ti5hmpucnhfqh/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/2yt9oajv9dkbju8tgy1g2nmqd
,,Club Atlético de Madrid,UEFA Super Cup,,Argentina,3897s5cs5iyk8g0g10fzywiqd,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,zx630fl2xj8ti5hmpucnhfqh,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2016-2017/zx630fl2xj8ti5hmpucnhfqh/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/3897s5cs5iyk8g0g10fzywiqd
,Gabi,Club Atlético de Madrid,UEFA Super Cup,Midfielder,Spain,38r7msuthv3ohhs6kew8zeeol,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,zx630fl2xj8ti5hmpucnhfqh,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2016-2017/zx630fl2xj8ti5hmpucnhfqh/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/38r7msuthv3ohhs6kew8zeeol
,,Club Atlético de Madrid,UEFA Super Cup,Midfielder,Spain,40h47dhimsmeiury61w1ourx1,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,zx630fl2xj8ti5hmpucnhfqh,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2016-2017/zx630fl2xj8ti5hmpucnhfqh/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/40h47dhimsmeiury61w1ourx1
,,Club Atlético de Madrid,UEFA Super Cup,Defender,Uruguay,548jzfl9higq44w9bgqvcjh05,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,zx630fl2xj8ti5hmpucnhfqh,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2016-2017/zx630fl2xj8ti5hmpucnhfqh/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/548jzfl9higq44w9bgqvcjh05
,,Club Atlético de Madrid,UEFA Super Cup,Attacker,Argentina,6fdvv4zs5pl6qj7pp6tsp5iad,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,zx630fl2xj8ti5hmpucnhfqh,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2016-2017/zx630fl2xj8ti5hmpucnhfqh/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/6fdvv4zs5pl6qj7pp6tsp5iad
,,Club Atlético de Madrid,UEFA Super Cup,Attacker,France,716n1970vi9rvw5b4w9qmjfth,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,zx630fl2xj8ti5hmpucnhfqh,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2016-2017/zx630fl2xj8ti5hmpucnhfqh/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/716n1970vi9rvw5b4w9qmjfth
,,Club Atlético de Madrid,UEFA Super Cup,Midfielder,Argentina,78ug8x7pkjt88u5dx151v32z9,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,zx630fl2xj8ti5hmpucnhfqh,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2016-2017/zx630fl2xj8ti5hmpucnhfqh/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/78ug8x7pkjt88u5dx151v32z9
,Augusto Fernández,Club Atlético de Madrid,UEFA Super Cup,Midfielder,Argentina,7og69d0snla5gs8liybos9ud,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,zx630fl2xj8ti5hmpucnhfqh,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2016-2017/zx630fl2xj8ti5hmpucnhfqh/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/7og69d0snla5gs8liybos9ud
,,Club Atlético de Madrid,UEFA Super Cup,Midfielder,Spain,7sjdt9t1acrfy7j0pbch2r179,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,zx630fl2xj8ti5hmpucnhfqh,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2016-2017/zx630fl2xj8ti5hmpucnhfqh/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/7sjdt9t1acrfy7j0pbch2r179
