dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,Liverpool FC,UEFA Super Cup,Midfielder,England,135s5jb8qkcap8ec8cv47p9sl,c8h9bw1l82s06h77xxrelzhur,a0f4gtru0oyxmpvty4thc5qkc,zx630fl2xj8ti5hmpucnhfqh,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2016-2017/zx630fl2xj8ti5hmpucnhfqh/teams/view/c8h9bw1l82s06h77xxrelzhur/player/view/135s5jb8qkcap8ec8cv47p9sl
,,Liverpool FC,UEFA Super Cup,Defender,England,19z8jmren3eytg7fbuzqv73kl,c8h9bw1l82s06h77xxrelzhur,a0f4gtru0oyxmpvty4thc5qkc,zx630fl2xj8ti5hmpucnhfqh,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2016-2017/zx630fl2xj8ti5hmpucnhfqh/teams/view/c8h9bw1l82s06h77xxrelzhur/player/view/19z8jmren3eytg7fbuzqv73kl
,,Liverpool FC,UEFA Super Cup,Attacker,Belgium,1dwwsz1i6v8zwh802ujwf7emt,c8h9bw1l82s06h77xxrelzhur,a0f4gtru0oyxmpvty4thc5qkc,zx630fl2xj8ti5hmpucnhfqh,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2016-2017/zx630fl2xj8ti5hmpucnhfqh/teams/view/c8h9bw1l82s06h77xxrelzhur/player/view/1dwwsz1i6v8zwh802ujwf7emt
,,Liverpool FC,UEFA Super Cup,Midfielder,Jamaica,1kphn7bgopmy608tseva35uj9,c8h9bw1l82s06h77xxrelzhur,a0f4gtru0oyxmpvty4thc5qkc,zx630fl2xj8ti5hmpucnhfqh,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2016-2017/zx630fl2xj8ti5hmpucnhfqh/teams/view/c8h9bw1l82s06h77xxrelzhur/player/view/1kphn7bgopmy608tseva35uj9
,,Liverpool FC,UEFA Super Cup,Midfielder,Serbia,1lzrqyutyb5r1rqxr6ehzc3px,c8h9bw1l82s06h77xxrelzhur,a0f4gtru0oyxmpvty4thc5qkc,zx630fl2xj8ti5hmpucnhfqh,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2016-2017/zx630fl2xj8ti5hmpucnhfqh/teams/view/c8h9bw1l82s06h77xxrelzhur/player/view/1lzrqyutyb5r1rqxr6ehzc3px
,,Liverpool FC,UEFA Super Cup,Midfielder,England,25yu90pekqr1lhs098f3uxy39,c8h9bw1l82s06h77xxrelzhur,a0f4gtru0oyxmpvty4thc5qkc,zx630fl2xj8ti5hmpucnhfqh,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2016-2017/zx630fl2xj8ti5hmpucnhfqh/teams/view/c8h9bw1l82s06h77xxrelzhur/player/view/25yu90pekqr1lhs098f3uxy39
,,Liverpool FC,UEFA Super Cup,Defender,England,29dp5gmu5xbd04mozwxq5tjh1,c8h9bw1l82s06h77xxrelzhur,a0f4gtru0oyxmpvty4thc5qkc,zx630fl2xj8ti5hmpucnhfqh,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2016-2017/zx630fl2xj8ti5hmpucnhfqh/teams/view/c8h9bw1l82s06h77xxrelzhur/player/view/29dp5gmu5xbd04mozwxq5tjh1
,,Liverpool FC,UEFA Super Cup,Midfielder,Netherlands,2lyib1m8bhrkcc3ukk12fbefp,c8h9bw1l82s06h77xxrelzhur,a0f4gtru0oyxmpvty4thc5qkc,zx630fl2xj8ti5hmpucnhfqh,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2016-2017/zx630fl2xj8ti5hmpucnhfqh/teams/view/c8h9bw1l82s06h77xxrelzhur/player/view/2lyib1m8bhrkcc3ukk12fbefp
,,Liverpool FC,UEFA Super Cup,Midfielder,England,3jzhwh7lq7xzcz7clm28h0mvp,c8h9bw1l82s06h77xxrelzhur,a0f4gtru0oyxmpvty4thc5qkc,zx630fl2xj8ti5hmpucnhfqh,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2016-2017/zx630fl2xj8ti5hmpucnhfqh/teams/view/c8h9bw1l82s06h77xxrelzhur/player/view/3jzhwh7lq7xzcz7clm28h0mvp
,Luis Alberto,Liverpool FC,UEFA Super Cup,Midfielder,Spain,3v6az10hxcowqkewd809cri6t,c8h9bw1l82s06h77xxrelzhur,a0f4gtru0oyxmpvty4thc5qkc,zx630fl2xj8ti5hmpucnhfqh,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2016-2017/zx630fl2xj8ti5hmpucnhfqh/teams/view/c8h9bw1l82s06h77xxrelzhur/player/view/3v6az10hxcowqkewd809cri6t
