dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,Juventus FC,UEFA Super Cup,Defender,Italy,104smma5puuc2oc0ms59z6qxh,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/104smma5puuc2oc0ms59z6qxh
,,Juventus FC,UEFA Super Cup,Attacker,Croatia,1ywlxygilfor1z4i54ve4ojit,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/1ywlxygilfor1z4i54ve4ojit
,,Juventus FC,UEFA Super Cup,Attacker,Croatia,2hbduprkyabq8g1nhe6b4g3bp,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/2hbduprkyabq8g1nhe6b4g3bp
,,Juventus FC,UEFA Super Cup,Midfielder,Italy,2md7d1b8w6ikei1udn12naaxh,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/2md7d1b8w6ikei1udn12naaxh
,Alex Sandro,Juventus FC,UEFA Super Cup,Defender,Brazil,2raf0uw5y2kajde0v60l4g1qt,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/2raf0uw5y2kajde0v60l4g1qt
,,Juventus FC,UEFA Super Cup,Midfielder,Germany,3fr4vctblddis91mi7rztum6t,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/3fr4vctblddis91mi7rztum6t
,,Juventus FC,UEFA Super Cup,Midfielder,Uruguay,3wp8fuk07m1ph1fpmbqe7tf55,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/3wp8fuk07m1ph1fpmbqe7tf55
,,Juventus FC,UEFA Super Cup,Attacker,Italy,3zqpvn7r1c779l9vwwh7yukfd,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/3zqpvn7r1c779l9vwwh7yukfd
,,Juventus FC,UEFA Super Cup,Midfielder,Italy,49lfwoirmby4zfredjo6hfbhl,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/49lfwoirmby4zfredjo6hfbhl
,,Juventus FC,UEFA Super Cup,Midfielder,Italy,61th6u4ymlotpj2x2yzgu1j2t,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/61th6u4ymlotpj2x2yzgu1j2t
,,Juventus FC,UEFA Super Cup,Midfielder,Italy,6a1zelushoj9ooalthnr1lgph,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/6a1zelushoj9ooalthnr1lgph
,,Juventus FC,UEFA Super Cup,Defender,Italy,6jbob98hqg50s3fg4hug5oel1,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/6jbob98hqg50s3fg4hug5oel1
,,Juventus FC,UEFA Super Cup,Attacker,Italy,6kms3ctf8joymna289onk9lg5,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/6kms3ctf8joymna289onk9lg5
,,Juventus FC,UEFA Super Cup,Goalkeeper,Poland,6ofu6yc2qwp5ii9cerdq1tk9h,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/6ofu6yc2qwp5ii9cerdq1tk9h
,,Juventus FC,UEFA Super Cup,Goalkeeper,Italy,6r2u1ud4gfq8xmcc52zn58lpl,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/6r2u1ud4gfq8xmcc52zn58lpl
,,Juventus FC,UEFA Super Cup,,Italy,7d1vjhkn0gw3nq3hw0szkwic5,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/7d1vjhkn0gw3nq3hw0szkwic5
,,Juventus FC,UEFA Super Cup,Goalkeeper,Italy,8rlf5vjyddkcid5ysa3yo7hlh,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/8rlf5vjyddkcid5ysa3yo7hlh
,,Juventus FC,UEFA Super Cup,Attacker,Argentina,93i0gcndi2m8giqqcm4knduxh,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/93i0gcndi2m8giqqcm4knduxh
,,Juventus FC,UEFA Super Cup,Defender,Italy,9pe3yqjsmcjtxdx7bdne3d4ut,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/9pe3yqjsmcjtxdx7bdne3d4ut
,,Juventus FC,UEFA Super Cup,Defender,Switzerland,a1f4l0276sgy5vuvaqajmys45,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/a1f4l0276sgy5vuvaqajmys45
,,Juventus FC,UEFA Super Cup,Midfielder,Italy,a47gklpf1lmfrqmcx6ry4yac5,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/a47gklpf1lmfrqmcx6ry4yac5
,,Juventus FC,UEFA Super Cup,Goalkeeper,Italy,ahjawcnamuz5zemfrjv76ckid,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/ahjawcnamuz5zemfrjv76ckid
,,Juventus FC,UEFA Super Cup,Defender,Italy,aj36fb1ghty6s9havdpbljf85,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/aj36fb1ghty6s9havdpbljf85
,,Juventus FC,UEFA Super Cup,Defender,Italy,bh3b7e2qzh41dltd6h2obpln9,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/bh3b7e2qzh41dltd6h2obpln9
,,Juventus FC,UEFA Super Cup,Midfielder,Bosnia and Herzegovina,c8ni4ccx44u8fd8lk5vtpk8gl,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/c8ni4ccx44u8fd8lk5vtpk8gl
,,Juventus FC,UEFA Super Cup,Defender,Ghana,cc30n16t5zhu9ls489mj0bdg5,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/cc30n16t5zhu9ls489mj0bdg5
,,Juventus FC,UEFA Super Cup,Attacker,Italy,d2bo9np7x5eofgebp7ab3swyd,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/d2bo9np7x5eofgebp7ab3swyd
,,Juventus FC,UEFA Super Cup,Attacker,Argentina,d3w4np40y5dshxm58rr67ld5h,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/d3w4np40y5dshxm58rr67ld5h
,,Juventus FC,UEFA Super Cup,Defender,Morocco,dea6xn8bfouuf8ttxxrn3pr6d,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/dea6xn8bfouuf8ttxxrn3pr6d
,,Juventus FC,UEFA Super Cup,Goalkeeper,Italy,e0zs1haap6flgi9x1qqzo1h49,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/e0zs1haap6flgi9x1qqzo1h49
,,Juventus FC,UEFA Super Cup,,Italy,ebej9q0tyyzd4b1uxl73qjkk5,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/ebej9q0tyyzd4b1uxl73qjkk5
,,Juventus FC,UEFA Super Cup,Midfielder,Venezuela,eqggzoepu1d4t13fw6ybebtn9,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/eqggzoepu1d4t13fw6ybebtn9
,,Juventus FC,UEFA Super Cup,Defender,Switzerland,ew1rsivowxw1csgxt9xeya5lh,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/ew1rsivowxw1csgxt9xeya5lh
,Douglas Costa,Juventus FC,UEFA Super Cup,Midfielder,Brazil,eyg1es7a38gntkcel3cylu2fp,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/eyg1es7a38gntkcel3cylu2fp
,,Juventus FC,UEFA Super Cup,Midfielder,Colombia,pconfrmsdy9aikioqz9s9lg5,bqbbqm98ud8obe45ds9ohgyrd,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/bqbbqm98ud8obe45ds9ohgyrd/player/view/pconfrmsdy9aikioqz9s9lg5
