dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
22,,Manchester United FC,UEFA Super Cup,Midfielder,Armenia,1xscywgyfqisqexmpfvbf9g45,6eqit8ye8aomdsrrq0hk3v7gh,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/6eqit8ye8aomdsrrq0hk3v7gh/player/view/1xscywgyfqisqexmpfvbf9g45
27,,Manchester United FC,UEFA Super Cup,Attacker,Belgium,351v0ovetkdkympri37ldwez9,6eqit8ye8aomdsrrq0hk3v7gh,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/6eqit8ye8aomdsrrq0hk3v7gh/player/view/351v0ovetkdkympri37ldwez9
20,,Manchester United FC,UEFA Super Cup,Goalkeeper,Argentina,3bsl2xgtd1odzn9zwfrz6lfpx,6eqit8ye8aomdsrrq0hk3v7gh,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/6eqit8ye8aomdsrrq0hk3v7gh/player/view/3bsl2xgtd1odzn9zwfrz6lfpx
11,,Manchester United FC,UEFA Super Cup,Attacker,France,3ikhefktnj44ys7rqjzr5q09h,6eqit8ye8aomdsrrq0hk3v7gh,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/6eqit8ye8aomdsrrq0hk3v7gh/player/view/3ikhefktnj44ys7rqjzr5q09h
17,,Manchester United FC,UEFA Super Cup,Defender,Netherlands,3kx4mltrob4yta5g6kr2u8ic5,6eqit8ye8aomdsrrq0hk3v7gh,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/6eqit8ye8aomdsrrq0hk3v7gh/player/view/3kx4mltrob4yta5g6kr2u8ic5
24,,Manchester United FC,UEFA Super Cup,Defender,Netherlands,3ojzrb5okc6i1jf1o7okovnjd,6eqit8ye8aomdsrrq0hk3v7gh,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/6eqit8ye8aomdsrrq0hk3v7gh/player/view/3ojzrb5okc6i1jf1o7okovnjd
,,Manchester United FC,UEFA Super Cup,,Portugal,4jpxug9up8ng5h1ps4xz30g6h,6eqit8ye8aomdsrrq0hk3v7gh,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/6eqit8ye8aomdsrrq0hk3v7gh/player/view/4jpxug9up8ng5h1ps4xz30g6h
4,,Manchester United FC,UEFA Super Cup,Defender,England,4l8kwjx02xaep34d743vwvx05,6eqit8ye8aomdsrrq0hk3v7gh,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/6eqit8ye8aomdsrrq0hk3v7gh/player/view/4l8kwjx02xaep34d743vwvx05
25,,Manchester United FC,UEFA Super Cup,Midfielder,Ecuador,51szz5ti75hkckhdj7sk5n36d,6eqit8ye8aomdsrrq0hk3v7gh,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/6eqit8ye8aomdsrrq0hk3v7gh/player/view/51szz5ti75hkckhdj7sk5n36d
14,,Manchester United FC,UEFA Super Cup,Midfielder,England,5f72vvw62zdlyrj3mwux2udat,6eqit8ye8aomdsrrq0hk3v7gh,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/6eqit8ye8aomdsrrq0hk3v7gh/player/view/5f72vvw62zdlyrj3mwux2udat
5,,Manchester United FC,UEFA Super Cup,Defender,Argentina,5nt3khx8jtvz8n83tzuaot68l,6eqit8ye8aomdsrrq0hk3v7gh,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/6eqit8ye8aomdsrrq0hk3v7gh/player/view/5nt3khx8jtvz8n83tzuaot68l
19,,Manchester United FC,UEFA Super Cup,Attacker,England,604osk9a3lxpfpkavuziqmn6x,6eqit8ye8aomdsrrq0hk3v7gh,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/6eqit8ye8aomdsrrq0hk3v7gh/player/view/604osk9a3lxpfpkavuziqmn6x
47,,Manchester United FC,UEFA Super Cup,Midfielder,England,7nivkfkngr374fx5totgektm1,6eqit8ye8aomdsrrq0hk3v7gh,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/6eqit8ye8aomdsrrq0hk3v7gh/player/view/7nivkfkngr374fx5totgektm1
12,,Manchester United FC,UEFA Super Cup,Defender,England,7o9bkf7no8wz167ingslfimdx,6eqit8ye8aomdsrrq0hk3v7gh,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/6eqit8ye8aomdsrrq0hk3v7gh/player/view/7o9bkf7no8wz167ingslfimdx
18,,Manchester United FC,UEFA Super Cup,Defender,England,7paw998ux29k7hx4t1g0wu85x,6eqit8ye8aomdsrrq0hk3v7gh,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/6eqit8ye8aomdsrrq0hk3v7gh/player/view/7paw998ux29k7hx4t1g0wu85x
23,,Manchester United FC,UEFA Super Cup,Defender,England,7uxt9a7t22ij4reg1uire5uqd,6eqit8ye8aomdsrrq0hk3v7gh,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/6eqit8ye8aomdsrrq0hk3v7gh/player/view/7uxt9a7t22ij4reg1uire5uqd
40,Joel Pereira,Manchester United FC,UEFA Super Cup,Goalkeeper,Portugal,8n2xfmdnievwdeg60kobkoyj9,6eqit8ye8aomdsrrq0hk3v7gh,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/6eqit8ye8aomdsrrq0hk3v7gh/player/view/8n2xfmdnievwdeg60kobkoyj9
9,,Manchester United FC,UEFA Super Cup,Attacker,Belgium,8qgbxff7xlg0zjtyees7ljljp,6eqit8ye8aomdsrrq0hk3v7gh,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/6eqit8ye8aomdsrrq0hk3v7gh/player/view/8qgbxff7xlg0zjtyees7ljljp
39,,Manchester United FC,UEFA Super Cup,Midfielder,Scotland,9fvo9v5e9r0ptibied6ejv3zd,6eqit8ye8aomdsrrq0hk3v7gh,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/6eqit8ye8aomdsrrq0hk3v7gh/player/view/9fvo9v5e9r0ptibied6ejv3zd
3,,Manchester United FC,UEFA Super Cup,Defender,Côte d'Ivoire,9jw0h4escxh3eqz8oh860r3yt,6eqit8ye8aomdsrrq0hk3v7gh,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/6eqit8ye8aomdsrrq0hk3v7gh/player/view/9jw0h4escxh3eqz8oh860r3yt
30,,Manchester United FC,UEFA Super Cup,Defender,Uruguay,9o7dle9x2co12u1nt8c9icq1h,6eqit8ye8aomdsrrq0hk3v7gh,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/6eqit8ye8aomdsrrq0hk3v7gh/player/view/9o7dle9x2co12u1nt8c9icq1h
2,,Manchester United FC,UEFA Super Cup,Defender,Sweden,a3ms8havadt1y9x381l325txx,6eqit8ye8aomdsrrq0hk3v7gh,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/6eqit8ye8aomdsrrq0hk3v7gh/player/view/a3ms8havadt1y9x381l325txx
15,Andreas Pereira,Manchester United FC,UEFA Super Cup,Midfielder,Brazil,ah7iqgru0htz9lh1bff94cjbp,6eqit8ye8aomdsrrq0hk3v7gh,a0f4gtru0oyxmpvty4thc5qkc,7py3ue52qyex5lpht97yndpex,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2017-2018/7py3ue52qyex5lpht97yndpex/teams/view/6eqit8ye8aomdsrrq0hk3v7gh/player/view/ah7iqgru0htz9lh1bff94cjbp
