dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,Chelsea FC,UEFA Super Cup,,England,10h3s39lz43wevvxuro2s9hhx,9q0arba2kbnywth8bkxlhgmdr,a0f4gtru0oyxmpvty4thc5qkc,32c5glfaeyuwdboj0tz17tmju,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2019-2020/32c5glfaeyuwdboj0tz17tmju/teams/view/9q0arba2kbnywth8bkxlhgmdr/player/view/10h3s39lz43wevvxuro2s9hhx
27,,Chelsea FC,UEFA Super Cup,Defender,Denmark,1av9mmv19jwvc4xdr0p9owyxh,9q0arba2kbnywth8bkxlhgmdr,a0f4gtru0oyxmpvty4thc5qkc,32c5glfaeyuwdboj0tz17tmju,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2019-2020/32c5glfaeyuwdboj0tz17tmju/teams/view/9q0arba2kbnywth8bkxlhgmdr/player/view/1av9mmv19jwvc4xdr0p9owyxh
16,Kenedy,Chelsea FC,UEFA Super Cup,Midfielder,Brazil,1jz6a0l9q2v38adtntoe30t1,9q0arba2kbnywth8bkxlhgmdr,a0f4gtru0oyxmpvty4thc5qkc,32c5glfaeyuwdboj0tz17tmju,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2019-2020/32c5glfaeyuwdboj0tz17tmju/teams/view/9q0arba2kbnywth8bkxlhgmdr/player/view/1jz6a0l9q2v38adtntoe30t1
,,Chelsea FC,UEFA Super Cup,Goalkeeper,England,32sqctjujedqsab4xwy1pwlbd,9q0arba2kbnywth8bkxlhgmdr,a0f4gtru0oyxmpvty4thc5qkc,32c5glfaeyuwdboj0tz17tmju,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2019-2020/32c5glfaeyuwdboj0tz17tmju/teams/view/9q0arba2kbnywth8bkxlhgmdr/player/view/32sqctjujedqsab4xwy1pwlbd
9,,Chelsea FC,UEFA Super Cup,Attacker,England,363nsa82dww242zeo09wpcslx,9q0arba2kbnywth8bkxlhgmdr,a0f4gtru0oyxmpvty4thc5qkc,32c5glfaeyuwdboj0tz17tmju,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2019-2020/32c5glfaeyuwdboj0tz17tmju/teams/view/9q0arba2kbnywth8bkxlhgmdr/player/view/363nsa82dww242zeo09wpcslx
29,,Chelsea FC,UEFA Super Cup,Defender,England,3sezchmdtivxl4kusvgc6j7x1,9q0arba2kbnywth8bkxlhgmdr,a0f4gtru0oyxmpvty4thc5qkc,32c5glfaeyuwdboj0tz17tmju,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2019-2020/32c5glfaeyuwdboj0tz17tmju/teams/view/9q0arba2kbnywth8bkxlhgmdr/player/view/3sezchmdtivxl4kusvgc6j7x1
18,,Chelsea FC,UEFA Super Cup,Attacker,France,5awkzgwwh48prwgvxwewuc5hx,9q0arba2kbnywth8bkxlhgmdr,a0f4gtru0oyxmpvty4thc5qkc,32c5glfaeyuwdboj0tz17tmju,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2019-2020/32c5glfaeyuwdboj0tz17tmju/teams/view/9q0arba2kbnywth8bkxlhgmdr/player/view/5awkzgwwh48prwgvxwewuc5hx
47,,Chelsea FC,UEFA Super Cup,Midfielder,Scotland,5okl8s3e8ad2add75m46ojo4p,9q0arba2kbnywth8bkxlhgmdr,a0f4gtru0oyxmpvty4thc5qkc,32c5glfaeyuwdboj0tz17tmju,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2019-2020/32c5glfaeyuwdboj0tz17tmju/teams/view/9q0arba2kbnywth8bkxlhgmdr/player/view/5okl8s3e8ad2add75m46ojo4p
13,,Chelsea FC,UEFA Super Cup,Goalkeeper,Argentina,6bhm9cfkwxv5ojh49rqv11g45,9q0arba2kbnywth8bkxlhgmdr,a0f4gtru0oyxmpvty4thc5qkc,32c5glfaeyuwdboj0tz17tmju,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2019-2020/32c5glfaeyuwdboj0tz17tmju/teams/view/9q0arba2kbnywth8bkxlhgmdr/player/view/6bhm9cfkwxv5ojh49rqv11g45
2,,Chelsea FC,UEFA Super Cup,Defender,Germany,6fzbp94hf19ysotdassrqdc5x,9q0arba2kbnywth8bkxlhgmdr,a0f4gtru0oyxmpvty4thc5qkc,32c5glfaeyuwdboj0tz17tmju,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2019-2020/32c5glfaeyuwdboj0tz17tmju/teams/view/9q0arba2kbnywth8bkxlhgmdr/player/view/6fzbp94hf19ysotdassrqdc5x
