dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,Son Heung-Min,Tottenham Hotspur FC,UEFA Super Cup,Attacker,Korea Republic,12ekwo6gbza410blv4b4r7ydx,22doj4sgsocqpxw45h607udje,a0f4gtru0oyxmpvty4thc5qkc,32c5glfaeyuwdboj0tz17tmju,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2019-2020/32c5glfaeyuwdboj0tz17tmju/teams/view/22doj4sgsocqpxw45h607udje/player/view/12ekwo6gbza410blv4b4r7ydx
,,Tottenham Hotspur FC,UEFA Super Cup,,Argentina,1yt2lhoij0ozjfg1othrlqsph,22doj4sgsocqpxw45h607udje,a0f4gtru0oyxmpvty4thc5qkc,32c5glfaeyuwdboj0tz17tmju,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2019-2020/32c5glfaeyuwdboj0tz17tmju/teams/view/22doj4sgsocqpxw45h607udje/player/view/1yt2lhoij0ozjfg1othrlqsph
,,Tottenham Hotspur FC,UEFA Super Cup,Defender,England,2uiza5b6fbum38chxtvmnkzqh,22doj4sgsocqpxw45h607udje,a0f4gtru0oyxmpvty4thc5qkc,32c5glfaeyuwdboj0tz17tmju,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2019-2020/32c5glfaeyuwdboj0tz17tmju/teams/view/22doj4sgsocqpxw45h607udje/player/view/2uiza5b6fbum38chxtvmnkzqh
,,Tottenham Hotspur FC,UEFA Super Cup,Midfielder,England,48hur5fmszaqltysykkb4js2d,22doj4sgsocqpxw45h607udje,a0f4gtru0oyxmpvty4thc5qkc,32c5glfaeyuwdboj0tz17tmju,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2019-2020/32c5glfaeyuwdboj0tz17tmju/teams/view/22doj4sgsocqpxw45h607udje/player/view/48hur5fmszaqltysykkb4js2d
,,Tottenham Hotspur FC,UEFA Super Cup,Defender,Colombia,4k0ni039sbjs4sqipk4v7k79x,22doj4sgsocqpxw45h607udje,a0f4gtru0oyxmpvty4thc5qkc,32c5glfaeyuwdboj0tz17tmju,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2019-2020/32c5glfaeyuwdboj0tz17tmju/teams/view/22doj4sgsocqpxw45h607udje/player/view/4k0ni039sbjs4sqipk4v7k79x
,,Tottenham Hotspur FC,UEFA Super Cup,Attacker,Republic of Ireland,59ynmlwky3h6m9g2r7a8igi96,22doj4sgsocqpxw45h607udje,a0f4gtru0oyxmpvty4thc5qkc,32c5glfaeyuwdboj0tz17tmju,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2019-2020/32c5glfaeyuwdboj0tz17tmju/teams/view/22doj4sgsocqpxw45h607udje/player/view/59ynmlwky3h6m9g2r7a8igi96
,,Tottenham Hotspur FC,UEFA Super Cup,Defender,England,5gb7v3m0qisn24c7h49xn250p,22doj4sgsocqpxw45h607udje,a0f4gtru0oyxmpvty4thc5qkc,32c5glfaeyuwdboj0tz17tmju,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2019-2020/32c5glfaeyuwdboj0tz17tmju/teams/view/22doj4sgsocqpxw45h607udje/player/view/5gb7v3m0qisn24c7h49xn250p
,,Tottenham Hotspur FC,UEFA Super Cup,Midfielder,England,5qfa3h4gut5jlnfkexq5m1djp,22doj4sgsocqpxw45h607udje,a0f4gtru0oyxmpvty4thc5qkc,32c5glfaeyuwdboj0tz17tmju,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2019-2020/32c5glfaeyuwdboj0tz17tmju/teams/view/22doj4sgsocqpxw45h607udje/player/view/5qfa3h4gut5jlnfkexq5m1djp
,,Tottenham Hotspur FC,UEFA Super Cup,Defender,Argentina,5soi8e2hlk77rlsbsl76hg3xl,22doj4sgsocqpxw45h607udje,a0f4gtru0oyxmpvty4thc5qkc,32c5glfaeyuwdboj0tz17tmju,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2019-2020/32c5glfaeyuwdboj0tz17tmju/teams/view/22doj4sgsocqpxw45h607udje/player/view/5soi8e2hlk77rlsbsl76hg3xl
,,Tottenham Hotspur FC,UEFA Super Cup,Midfielder,England,6ge15340tp9n57m88z6rli6i2,22doj4sgsocqpxw45h607udje,a0f4gtru0oyxmpvty4thc5qkc,32c5glfaeyuwdboj0tz17tmju,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2019-2020/32c5glfaeyuwdboj0tz17tmju/teams/view/22doj4sgsocqpxw45h607udje/player/view/6ge15340tp9n57m88z6rli6i2
