dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
29,,FC Bayern München,UEFA Super Cup,Attacker,France,1u1u438ql6xrordkb65wsxo7p,apoawtpvac4zqlancmvw4nk4o,a0f4gtru0oyxmpvty4thc5qkc,1likk1so1f5kkfarfustln88a,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2020-2021/1likk1so1f5kkfarfustln88a/teams/view/apoawtpvac4zqlancmvw4nk4o/player/view/1u1u438ql6xrordkb65wsxo7p
30,,FC Bayern München,UEFA Super Cup,Midfielder,Germany,1wf757j0e3v3bdpbc9z2tav3d,apoawtpvac4zqlancmvw4nk4o,a0f4gtru0oyxmpvty4thc5qkc,1likk1so1f5kkfarfustln88a,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2020-2021/1likk1so1f5kkfarfustln88a/teams/view/apoawtpvac4zqlancmvw4nk4o/player/view/1wf757j0e3v3bdpbc9z2tav3d
40,,FC Bayern München,UEFA Super Cup,Midfielder,USA,25vb30mtetefhp3ix26nlhx0q,apoawtpvac4zqlancmvw4nk4o,a0f4gtru0oyxmpvty4thc5qkc,1likk1so1f5kkfarfustln88a,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2020-2021/1likk1so1f5kkfarfustln88a/teams/view/apoawtpvac4zqlancmvw4nk4o/player/view/25vb30mtetefhp3ix26nlhx0q
23,,FC Bayern München,UEFA Super Cup,Defender,France,2lwjtphx3bkjty9sds520l1ey,apoawtpvac4zqlancmvw4nk4o,a0f4gtru0oyxmpvty4thc5qkc,1likk1so1f5kkfarfustln88a,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2020-2021/1likk1so1f5kkfarfustln88a/teams/view/apoawtpvac4zqlancmvw4nk4o/player/view/2lwjtphx3bkjty9sds520l1ey
,,FC Bayern München,UEFA Super Cup,Attacker,Germany,2mhcqwpftx46hwl2r7smhog6h,apoawtpvac4zqlancmvw4nk4o,a0f4gtru0oyxmpvty4thc5qkc,1likk1so1f5kkfarfustln88a,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2020-2021/1likk1so1f5kkfarfustln88a/teams/view/apoawtpvac4zqlancmvw4nk4o/player/view/2mhcqwpftx46hwl2r7smhog6h
10,,FC Bayern München,UEFA Super Cup,Attacker,Germany,4603xrdk721lqhd1ejn62x5n9,apoawtpvac4zqlancmvw4nk4o,a0f4gtru0oyxmpvty4thc5qkc,1likk1so1f5kkfarfustln88a,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2020-2021/1likk1so1f5kkfarfustln88a/teams/view/apoawtpvac4zqlancmvw4nk4o/player/view/4603xrdk721lqhd1ejn62x5n9
25,,FC Bayern München,UEFA Super Cup,Attacker,Germany,4fq74wp7xzwm214veuxqpdz9x,apoawtpvac4zqlancmvw4nk4o,a0f4gtru0oyxmpvty4thc5qkc,1likk1so1f5kkfarfustln88a,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2020-2021/1likk1so1f5kkfarfustln88a/teams/view/apoawtpvac4zqlancmvw4nk4o/player/view/4fq74wp7xzwm214veuxqpdz9x
4,,FC Bayern München,UEFA Super Cup,Defender,Germany,4vy3j1o829f561jf4fqum7ob9,apoawtpvac4zqlancmvw4nk4o,a0f4gtru0oyxmpvty4thc5qkc,1likk1so1f5kkfarfustln88a,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2020-2021/1likk1so1f5kkfarfustln88a/teams/view/apoawtpvac4zqlancmvw4nk4o/player/view/4vy3j1o829f561jf4fqum7ob9
18,,FC Bayern München,UEFA Super Cup,Midfielder,Germany,4w4ldzomkj7fhrc51iimz8no5,apoawtpvac4zqlancmvw4nk4o,a0f4gtru0oyxmpvty4thc5qkc,1likk1so1f5kkfarfustln88a,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2020-2021/1likk1so1f5kkfarfustln88a/teams/view/apoawtpvac4zqlancmvw4nk4o/player/view/4w4ldzomkj7fhrc51iimz8no5
7,,FC Bayern München,UEFA Super Cup,Attacker,Germany,4ysxvym6ww4f9d3hflkqsbf11,apoawtpvac4zqlancmvw4nk4o,a0f4gtru0oyxmpvty4thc5qkc,1likk1so1f5kkfarfustln88a,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2020-2021/1likk1so1f5kkfarfustln88a/teams/view/apoawtpvac4zqlancmvw4nk4o/player/view/4ysxvym6ww4f9d3hflkqsbf11
14,,FC Bayern München,UEFA Super Cup,Attacker,Netherlands,56bidwsegakrtx3z1qbbpnc6i,apoawtpvac4zqlancmvw4nk4o,a0f4gtru0oyxmpvty4thc5qkc,1likk1so1f5kkfarfustln88a,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2020-2021/1likk1so1f5kkfarfustln88a/teams/view/apoawtpvac4zqlancmvw4nk4o/player/view/56bidwsegakrtx3z1qbbpnc6i
19,,FC Bayern München,UEFA Super Cup,Defender,Canada,582uvj0i3dvm0zwbou9q68pgp,apoawtpvac4zqlancmvw4nk4o,a0f4gtru0oyxmpvty4thc5qkc,1likk1so1f5kkfarfustln88a,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2020-2021/1likk1so1f5kkfarfustln88a/teams/view/apoawtpvac4zqlancmvw4nk4o/player/view/582uvj0i3dvm0zwbou9q68pgp
41,,FC Bayern München,UEFA Super Cup,Defender,USA,5nsag404623qznyyizl8yuwkq,apoawtpvac4zqlancmvw4nk4o,a0f4gtru0oyxmpvty4thc5qkc,1likk1so1f5kkfarfustln88a,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2020-2021/1likk1so1f5kkfarfustln88a/teams/view/apoawtpvac4zqlancmvw4nk4o/player/view/5nsag404623qznyyizl8yuwkq
,,FC Bayern München,UEFA Super Cup,Midfielder,Germany,64bvmk3m58s8g7rut7zac85bd,apoawtpvac4zqlancmvw4nk4o,a0f4gtru0oyxmpvty4thc5qkc,1likk1so1f5kkfarfustln88a,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2020-2021/1likk1so1f5kkfarfustln88a/teams/view/apoawtpvac4zqlancmvw4nk4o/player/view/64bvmk3m58s8g7rut7zac85bd
1,,FC Bayern München,UEFA Super Cup,Goalkeeper,Germany,64pzn3jdqo6y2izlpm8n3tvpx,apoawtpvac4zqlancmvw4nk4o,a0f4gtru0oyxmpvty4thc5qkc,1likk1so1f5kkfarfustln88a,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2020-2021/1likk1so1f5kkfarfustln88a/teams/view/apoawtpvac4zqlancmvw4nk4o/player/view/64pzn3jdqo6y2izlpm8n3tvpx
27,,FC Bayern München,UEFA Super Cup,Defender,Austria,6w5wyari2p4bh2zzy2x2f6hg5,apoawtpvac4zqlancmvw4nk4o,a0f4gtru0oyxmpvty4thc5qkc,1likk1so1f5kkfarfustln88a,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2020-2021/1likk1so1f5kkfarfustln88a/teams/view/apoawtpvac4zqlancmvw4nk4o/player/view/6w5wyari2p4bh2zzy2x2f6hg5
