dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
6,,Villarreal CF,UEFA Super Cup,Midfielder,Spain,12qc3dkodeb8ykg6pc0kqf2l1,74mcjsm72vr3l9pw2i4qfjchj,a0f4gtru0oyxmpvty4thc5qkc,cdgsb1vg0o8inwdz37l70bk0k,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/teams/view/74mcjsm72vr3l9pw2i4qfjchj/player/view/12qc3dkodeb8ykg6pc0kqf2l1
13,,Villarreal CF,UEFA Super Cup,Goalkeeper,Argentina,1lgrnaje6y7un5dzzll84p91,74mcjsm72vr3l9pw2i4qfjchj,a0f4gtru0oyxmpvty4thc5qkc,cdgsb1vg0o8inwdz37l70bk0k,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/teams/view/74mcjsm72vr3l9pw2i4qfjchj/player/view/1lgrnaje6y7un5dzzll84p91
20,,Villarreal CF,UEFA Super Cup,Defender,Spain,1vupjbihmf0b4gzjskmrmptqt,74mcjsm72vr3l9pw2i4qfjchj,a0f4gtru0oyxmpvty4thc5qkc,cdgsb1vg0o8inwdz37l70bk0k,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/teams/view/74mcjsm72vr3l9pw2i4qfjchj/player/view/1vupjbihmf0b4gzjskmrmptqt
7,,Villarreal CF,UEFA Super Cup,Attacker,Spain,2biwwlvzgsu5kmyw5w1adpmtx,74mcjsm72vr3l9pw2i4qfjchj,a0f4gtru0oyxmpvty4thc5qkc,cdgsb1vg0o8inwdz37l70bk0k,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/teams/view/74mcjsm72vr3l9pw2i4qfjchj/player/view/2biwwlvzgsu5kmyw5w1adpmtx
34,,Villarreal CF,UEFA Super Cup,Attacker,Spain,313x9xk65v0e1qoqvbqqy5u96,74mcjsm72vr3l9pw2i4qfjchj,a0f4gtru0oyxmpvty4thc5qkc,cdgsb1vg0o8inwdz37l70bk0k,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/teams/view/74mcjsm72vr3l9pw2i4qfjchj/player/view/313x9xk65v0e1qoqvbqqy5u96
31,,Villarreal CF,UEFA Super Cup,Goalkeeper,Andorra,32uxh37qc6ebx1z4h8qvuvdnt,74mcjsm72vr3l9pw2i4qfjchj,a0f4gtru0oyxmpvty4thc5qkc,cdgsb1vg0o8inwdz37l70bk0k,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/teams/view/74mcjsm72vr3l9pw2i4qfjchj/player/view/32uxh37qc6ebx1z4h8qvuvdnt
11,,Villarreal CF,UEFA Super Cup,Attacker,Nigeria,3bm08rp9rgzh6cjhk0picxs6h,74mcjsm72vr3l9pw2i4qfjchj,a0f4gtru0oyxmpvty4thc5qkc,cdgsb1vg0o8inwdz37l70bk0k,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/teams/view/74mcjsm72vr3l9pw2i4qfjchj/player/view/3bm08rp9rgzh6cjhk0picxs6h
16,,Villarreal CF,UEFA Super Cup,Attacker,Senegal,3mqhkh4iz4kesvmqui3hupgmi,74mcjsm72vr3l9pw2i4qfjchj,a0f4gtru0oyxmpvty4thc5qkc,cdgsb1vg0o8inwdz37l70bk0k,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/teams/view/74mcjsm72vr3l9pw2i4qfjchj/player/view/3mqhkh4iz4kesvmqui3hupgmi
21,,Villarreal CF,UEFA Super Cup,Midfielder,Spain,4eezya3lwcwur6c8s6rl0rzvu,74mcjsm72vr3l9pw2i4qfjchj,a0f4gtru0oyxmpvty4thc5qkc,cdgsb1vg0o8inwdz37l70bk0k,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/teams/view/74mcjsm72vr3l9pw2i4qfjchj/player/view/4eezya3lwcwur6c8s6rl0rzvu
4,,Villarreal CF,UEFA Super Cup,Defender,Spain,57s7gfvt5btbfzm600wn7df55,74mcjsm72vr3l9pw2i4qfjchj,a0f4gtru0oyxmpvty4thc5qkc,cdgsb1vg0o8inwdz37l70bk0k,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/teams/view/74mcjsm72vr3l9pw2i4qfjchj/player/view/57s7gfvt5btbfzm600wn7df55
,,Villarreal CF,UEFA Super Cup,Midfielder,Spain,5fgi2rxom2g67vi5djb9ztzze,74mcjsm72vr3l9pw2i4qfjchj,a0f4gtru0oyxmpvty4thc5qkc,cdgsb1vg0o8inwdz37l70bk0k,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/teams/view/74mcjsm72vr3l9pw2i4qfjchj/player/view/5fgi2rxom2g67vi5djb9ztzze
25,,Villarreal CF,UEFA Super Cup,Midfielder,France,5mx86rwy0u4xi1b5kqin4lhx,74mcjsm72vr3l9pw2i4qfjchj,a0f4gtru0oyxmpvty4thc5qkc,cdgsb1vg0o8inwdz37l70bk0k,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/teams/view/74mcjsm72vr3l9pw2i4qfjchj/player/view/5mx86rwy0u4xi1b5kqin4lhx
8,,Villarreal CF,UEFA Super Cup,Defender,Argentina,5soi8e2hlk77rlsbsl76hg3xl,74mcjsm72vr3l9pw2i4qfjchj,a0f4gtru0oyxmpvty4thc5qkc,cdgsb1vg0o8inwdz37l70bk0k,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/teams/view/74mcjsm72vr3l9pw2i4qfjchj/player/view/5soi8e2hlk77rlsbsl76hg3xl
23,,Villarreal CF,UEFA Super Cup,Midfielder,Spain,5t2ngljfiapcn98qlnbifg53p,74mcjsm72vr3l9pw2i4qfjchj,a0f4gtru0oyxmpvty4thc5qkc,cdgsb1vg0o8inwdz37l70bk0k,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/teams/view/74mcjsm72vr3l9pw2i4qfjchj/player/view/5t2ngljfiapcn98qlnbifg53p
,,Villarreal CF,UEFA Super Cup,Attacker,Spain,5v4xejh2rnvkrqnvpz4eu2lt5,74mcjsm72vr3l9pw2i4qfjchj,a0f4gtru0oyxmpvty4thc5qkc,cdgsb1vg0o8inwdz37l70bk0k,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/teams/view/74mcjsm72vr3l9pw2i4qfjchj/player/view/5v4xejh2rnvkrqnvpz4eu2lt5
1,,Villarreal CF,UEFA Super Cup,Goalkeeper,Spain,5vyiq10fusxvrx4tajz9lmg9h,74mcjsm72vr3l9pw2i4qfjchj,a0f4gtru0oyxmpvty4thc5qkc,cdgsb1vg0o8inwdz37l70bk0k,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/teams/view/74mcjsm72vr3l9pw2i4qfjchj/player/view/5vyiq10fusxvrx4tajz9lmg9h
32,,Villarreal CF,UEFA Super Cup,Midfielder,Spain,5zoz3mjooujpv0wdcphyrztd6,74mcjsm72vr3l9pw2i4qfjchj,a0f4gtru0oyxmpvty4thc5qkc,cdgsb1vg0o8inwdz37l70bk0k,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/teams/view/74mcjsm72vr3l9pw2i4qfjchj/player/view/5zoz3mjooujpv0wdcphyrztd6
