dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,Eintracht Frankfurt,UEFA Super Cup,,Austria,1d2hhowua0cpcje2pohbj3zdh,c5hderjlkcoaze51e5wgvptk,a0f4gtru0oyxmpvty4thc5qkc,3ua7g6iazccbw29p5saydh4ic,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2022-2023/3ua7g6iazccbw29p5saydh4ic/teams/view/c5hderjlkcoaze51e5wgvptk/player/view/1d2hhowua0cpcje2pohbj3zdh
19,,Eintracht Frankfurt,UEFA Super Cup,Attacker,Colombia,2x5f35hk2urqlgoito1vgb3yt,c5hderjlkcoaze51e5wgvptk,a0f4gtru0oyxmpvty4thc5qkc,3ua7g6iazccbw29p5saydh4ic,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2022-2023/3ua7g6iazccbw29p5saydh4ic/teams/view/c5hderjlkcoaze51e5wgvptk/player/view/2x5f35hk2urqlgoito1vgb3yt
7,,Eintracht Frankfurt,UEFA Super Cup,Midfielder,Australia,2zwe056wfzof0v5jv01dv9uc5,c5hderjlkcoaze51e5wgvptk,a0f4gtru0oyxmpvty4thc5qkc,3ua7g6iazccbw29p5saydh4ic,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2022-2023/3ua7g6iazccbw29p5saydh4ic/teams/view/c5hderjlkcoaze51e5wgvptk/player/view/2zwe056wfzof0v5jv01dv9uc5
,,Eintracht Frankfurt,UEFA Super Cup,Goalkeeper,Germany,36c1e0h5xq1ik00h66i1ofqzu,c5hderjlkcoaze51e5wgvptk,a0f4gtru0oyxmpvty4thc5qkc,3ua7g6iazccbw29p5saydh4ic,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2022-2023/3ua7g6iazccbw29p5saydh4ic/teams/view/c5hderjlkcoaze51e5wgvptk/player/view/36c1e0h5xq1ik00h66i1ofqzu
25,,Eintracht Frankfurt,UEFA Super Cup,Defender,Germany,3qy1qlzezgfkxeom5n1r9h13p,c5hderjlkcoaze51e5wgvptk,a0f4gtru0oyxmpvty4thc5qkc,3ua7g6iazccbw29p5saydh4ic,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2022-2023/3ua7g6iazccbw29p5saydh4ic/teams/view/c5hderjlkcoaze51e5wgvptk/player/view/3qy1qlzezgfkxeom5n1r9h13p
10,,Eintracht Frankfurt,UEFA Super Cup,Midfielder,Serbia,555z9bynvux7oruirg67r8i51,c5hderjlkcoaze51e5wgvptk,a0f4gtru0oyxmpvty4thc5qkc,3ua7g6iazccbw29p5saydh4ic,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2022-2023/3ua7g6iazccbw29p5saydh4ic/teams/view/c5hderjlkcoaze51e5wgvptk/player/view/555z9bynvux7oruirg67r8i51
29,,Eintracht Frankfurt,UEFA Super Cup,Midfielder,Denmark,5ph2ln91ycq1qlq03cnqqs9re,c5hderjlkcoaze51e5wgvptk,a0f4gtru0oyxmpvty4thc5qkc,3ua7g6iazccbw29p5saydh4ic,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2022-2023/3ua7g6iazccbw29p5saydh4ic/teams/view/c5hderjlkcoaze51e5wgvptk/player/view/5ph2ln91ycq1qlq03cnqqs9re
31,,Eintracht Frankfurt,UEFA Super Cup,Goalkeeper,Germany,6rz47c6i1e4umc7kbh961x5ud,c5hderjlkcoaze51e5wgvptk,a0f4gtru0oyxmpvty4thc5qkc,3ua7g6iazccbw29p5saydh4ic,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2022-2023/3ua7g6iazccbw29p5saydh4ic/teams/view/c5hderjlkcoaze51e5wgvptk/player/view/6rz47c6i1e4umc7kbh961x5ud
17,,Eintracht Frankfurt,UEFA Super Cup,Midfielder,Germany,78e1qvft3ser2tyayjlmemdp1,c5hderjlkcoaze51e5wgvptk,a0f4gtru0oyxmpvty4thc5qkc,3ua7g6iazccbw29p5saydh4ic,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2022-2023/3ua7g6iazccbw29p5saydh4ic/teams/view/c5hderjlkcoaze51e5wgvptk/player/view/78e1qvft3ser2tyayjlmemdp1
8,,Eintracht Frankfurt,UEFA Super Cup,Midfielder,Switzerland,7cdiijsvnfc7tafy0zkf4uz9,c5hderjlkcoaze51e5wgvptk,a0f4gtru0oyxmpvty4thc5qkc,3ua7g6iazccbw29p5saydh4ic,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2022-2023/3ua7g6iazccbw29p5saydh4ic/teams/view/c5hderjlkcoaze51e5wgvptk/player/view/7cdiijsvnfc7tafy0zkf4uz9
