dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
11,,Real Madrid CF,UEFA Super Cup,Attacker,Spain,127eg3g8ig8j7obxtyc2tl8t1,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,3ua7g6iazccbw29p5saydh4ic,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2022-2023/3ua7g6iazccbw29p5saydh4ic/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/127eg3g8ig8j7obxtyc2tl8t1
15,,Real Madrid CF,UEFA Super Cup,Midfielder,Uruguay,1i9wi65k2foqwudeqiyih87hl,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,3ua7g6iazccbw29p5saydh4ic,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2022-2023/3ua7g6iazccbw29p5saydh4ic/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/1i9wi65k2foqwudeqiyih87hl
13,,Real Madrid CF,UEFA Super Cup,Goalkeeper,Ukraine,38bp85766w04a0nuulq5fiig9,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,3ua7g6iazccbw29p5saydh4ic,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2022-2023/3ua7g6iazccbw29p5saydh4ic/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/38bp85766w04a0nuulq5fiig9
,,Real Madrid CF,UEFA Super Cup,Goalkeeper,Spain,3x9pony0ji48524tpodmf0lxw,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,3ua7g6iazccbw29p5saydh4ic,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2022-2023/3ua7g6iazccbw29p5saydh4ic/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/3x9pony0ji48524tpodmf0lxw
,,Real Madrid CF,UEFA Super Cup,Goalkeeper,Spain,4jxlkq0x33agt01vjlou0yk4q,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,3ua7g6iazccbw29p5saydh4ic,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2022-2023/3ua7g6iazccbw29p5saydh4ic/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/4jxlkq0x33agt01vjlou0yk4q
7,,Real Madrid CF,UEFA Super Cup,Attacker,Belgium,54h69199gtsavspwblux98dsl,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,3ua7g6iazccbw29p5saydh4ic,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2022-2023/3ua7g6iazccbw29p5saydh4ic/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/54h69199gtsavspwblux98dsl
16,,Real Madrid CF,UEFA Super Cup,Defender,Spain,5nluxvc0wi0u1d5zcy7be5rkl,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,3ua7g6iazccbw29p5saydh4ic,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2022-2023/3ua7g6iazccbw29p5saydh4ic/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/5nluxvc0wi0u1d5zcy7be5rkl
1,,Real Madrid CF,UEFA Super Cup,Goalkeeper,Belgium,6crmq7vzqts58wg196q48sc7p,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,3ua7g6iazccbw29p5saydh4ic,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2022-2023/3ua7g6iazccbw29p5saydh4ic/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/6crmq7vzqts58wg196q48sc7p
22,,Real Madrid CF,UEFA Super Cup,Defender,Germany,6fzbp94hf19ysotdassrqdc5x,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,3ua7g6iazccbw29p5saydh4ic,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2022-2023/3ua7g6iazccbw29p5saydh4ic/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/6fzbp94hf19ysotdassrqdc5x
14,Casemiro,Real Madrid CF,UEFA Super Cup,Midfielder,Brazil,6nb8hub5usi3iasywa2fjf1lh,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,3ua7g6iazccbw29p5saydh4ic,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2022-2023/3ua7g6iazccbw29p5saydh4ic/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/6nb8hub5usi3iasywa2fjf1lh
