dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
31,Ederson,Manchester City FC,UEFA Super Cup,Goalkeeper,Brazil,23637o19ff0sw18pqv8g96ndh,a3nyxabgsqlnqfkeg41m6tnpp,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/a3nyxabgsqlnqfkeg41m6tnpp/player/view/23637o19ff0sw18pqv8g96ndh
7,João Cancelo,Manchester City FC,UEFA Super Cup,Defender,Portugal,29pq64smaxdwlraopnxoleqxh,a3nyxabgsqlnqfkeg41m6tnpp,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/a3nyxabgsqlnqfkeg41m6tnpp/player/view/29pq64smaxdwlraopnxoleqxh
3,Rúben Dias,Manchester City FC,UEFA Super Cup,Defender,Portugal,2t5s4f41jefzuzth0bhcixtcl,a3nyxabgsqlnqfkeg41m6tnpp,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/a3nyxabgsqlnqfkeg41m6tnpp/player/view/2t5s4f41jefzuzth0bhcixtcl
5,,Manchester City FC,UEFA Super Cup,Defender,England,3gem1jrrkgye0omb88fk1lsk5,a3nyxabgsqlnqfkeg41m6tnpp,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/a3nyxabgsqlnqfkeg41m6tnpp/player/view/3gem1jrrkgye0omb88fk1lsk5
,Juanma Lillo,Manchester City FC,UEFA Super Cup,,Spain,3hidhp8acceastmsdql7jymdx,a3nyxabgsqlnqfkeg41m6tnpp,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/a3nyxabgsqlnqfkeg41m6tnpp/player/view/3hidhp8acceastmsdql7jymdx
,,Manchester City FC,UEFA Super Cup,,Spain,3r7wi8r14k888ip3y2bzbacid,a3nyxabgsqlnqfkeg41m6tnpp,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/a3nyxabgsqlnqfkeg41m6tnpp/player/view/3r7wi8r14k888ip3y2bzbacid
,,Manchester City FC,UEFA Super Cup,Attacker,England,3z1ftgox9w7xpd4gaads07h4a,a3nyxabgsqlnqfkeg41m6tnpp,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/a3nyxabgsqlnqfkeg41m6tnpp/player/view/3z1ftgox9w7xpd4gaads07h4a
,,Manchester City FC,UEFA Super Cup,Defender,England,43n6lws8fguddvg3e4ukfrpw,a3nyxabgsqlnqfkeg41m6tnpp,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/a3nyxabgsqlnqfkeg41m6tnpp/player/view/43n6lws8fguddvg3e4ukfrpw
,,Manchester City FC,UEFA Super Cup,Defender,England,49sw57x0az8atzz5aqujtulpm,a3nyxabgsqlnqfkeg41m6tnpp,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/a3nyxabgsqlnqfkeg41m6tnpp/player/view/49sw57x0az8atzz5aqujtulpm
52,,Manchester City FC,UEFA Super Cup,Midfielder,Norway,58de7rbubnxjraen49dxpaqne,a3nyxabgsqlnqfkeg41m6tnpp,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/a3nyxabgsqlnqfkeg41m6tnpp/player/view/58de7rbubnxjraen49dxpaqne
