dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
23,Marcão,Sevilla FC,UEFA Super Cup,Defender,Brazil,1ghrcpi1cl0koh36puwblbfmd,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/1ghrcpi1cl0koh36puwblbfmd
4,,Sevilla FC,UEFA Super Cup,Defender,Argentina,1y74tse0vpdxanxf152cc8jjd,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/1y74tse0vpdxanxf152cc8jjd
14,,Sevilla FC,UEFA Super Cup,Defender,France,2lwjtphx3bkjty9sds520l1ey,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/2lwjtphx3bkjty9sds520l1ey
16,,Sevilla FC,UEFA Super Cup,Defender,Spain,2mg2n8e1d83gbeykfwzz0fumt,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/2mg2n8e1d83gbeykfwzz0fumt
28,,Sevilla FC,UEFA Super Cup,Midfielder,Spain,35i9zcb2szve0ydjga9qnj384,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/35i9zcb2szve0ydjga9qnj384
,,Sevilla FC,UEFA Super Cup,,Spain,3v5g3084p4gjz9d4g3cg47wlx,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/3v5g3084p4gjz9d4g3cg47wlx
,,Sevilla FC,UEFA Super Cup,Defender,Spain,40ziepwp1q7543uo2hxr30e1g,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/40ziepwp1q7543uo2hxr30e1g
,,Sevilla FC,UEFA Super Cup,Attacker,Spain,45rxt159xjefvxlfgeykclw8a,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/45rxt159xjefvxlfgeykclw8a
,,Sevilla FC,UEFA Super Cup,Goalkeeper,Spain,4b6a6kfczcu6k6u16qpplbx90,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/4b6a6kfczcu6k6u16qpplbx90
15,,Sevilla FC,UEFA Super Cup,Attacker,Morocco,4bbqmasyopxoymo4umcxd4e09,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/4bbqmasyopxoymo4umcxd4e09
,,Sevilla FC,UEFA Super Cup,Midfielder,Denmark,4gqnyyx3i92fayq6cxvekqwut,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/4gqnyyx3i92fayq6cxvekqwut
9,,Sevilla FC,UEFA Super Cup,Attacker,Spain,4sojot9t32l4a6fm3e39xkcfd,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/4sojot9t32l4a6fm3e39xkcfd
7,Suso,Sevilla FC,UEFA Super Cup,Midfielder,Spain,5c4ku1hmhy6l9dq8a5jp1qf9x,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/5c4ku1hmhy6l9dq8a5jp1qf9x
20,Fernando,Sevilla FC,UEFA Super Cup,Midfielder,Brazil,65osnocfqxv6mmpb69hm446ad,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/65osnocfqxv6mmpb69hm446ad
6,,Sevilla FC,UEFA Super Cup,Midfielder,Serbia,6vvwhgic29fekmmj2cg62ytp1,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/6vvwhgic29fekmmj2cg62ytp1
,,Sevilla FC,UEFA Super Cup,Midfielder,Belgium,7atmb373dynu9s9gnl613ox5h,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/7atmb373dynu9s9gnl613ox5h
18,,Sevilla FC,UEFA Super Cup,Midfielder,Switzerland,7cdiijsvnfc7tafy0zkf4uz9,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/7cdiijsvnfc7tafy0zkf4uz9
17,,Sevilla FC,UEFA Super Cup,Midfielder,Argentina,7exng93jyar5is4fa64r9bhzp,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/7exng93jyar5is4fa64r9bhzp
26,,Sevilla FC,UEFA Super Cup,Midfielder,Spain,7j2h7bq14b9n6xephp8vchfu2,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/7j2h7bq14b9n6xephp8vchfu2
,,Sevilla FC,UEFA Super Cup,Defender,Spain,8l1eu6xreyp1nd7u7o5fcxuui,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/8l1eu6xreyp1nd7u7o5fcxuui
21,,Sevilla FC,UEFA Super Cup,Midfielder,Spain,8n4f10q0l2wjhhfdkpp8kfzdh,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/8n4f10q0l2wjhhfdkpp8kfzdh
