dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
4,,Atalanta Bergamasca Calcio,UEFA Super Cup,Defender,Sweden,130pg17ru5fzq4igokx0k73e1,e75syeuawg3ql8nwpi3vr2btz,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/e75syeuawg3ql8nwpi3vr2btz/player/view/130pg17ru5fzq4igokx0k73e1
,,Atalanta Bergamasca Calcio,UEFA Super Cup,Midfielder,Ukraine,1s7qbrynbcv9uw9r5f29oyc5,e75syeuawg3ql8nwpi3vr2btz,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/e75syeuawg3ql8nwpi3vr2btz/player/view/1s7qbrynbcv9uw9r5f29oyc5
8,,Atalanta Bergamasca Calcio,UEFA Super Cup,Midfielder,Croatia,2fsgc0b4mvwpenawmit0q0bmd,e75syeuawg3ql8nwpi3vr2btz,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/e75syeuawg3ql8nwpi3vr2btz/player/view/2fsgc0b4mvwpenawmit0q0bmd
19,,Atalanta Bergamasca Calcio,UEFA Super Cup,Defender,Albania,2idy9ngk2rojseoxxw9n98c7p,e75syeuawg3ql8nwpi3vr2btz,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/e75syeuawg3ql8nwpi3vr2btz/player/view/2idy9ngk2rojseoxxw9n98c7p
48,,Atalanta Bergamasca Calcio,UEFA Super Cup,Attacker,Serbia,2ll1uof134vxf4y0cu6u6w6c4,e75syeuawg3ql8nwpi3vr2btz,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/e75syeuawg3ql8nwpi3vr2btz/player/view/2ll1uof134vxf4y0cu6u6w6c4
,,Atalanta Bergamasca Calcio,UEFA Super Cup,Midfielder,Netherlands,2ugzqrpaooto1r24a6kvqf2ll,e75syeuawg3ql8nwpi3vr2btz,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/e75syeuawg3ql8nwpi3vr2btz/player/view/2ugzqrpaooto1r24a6kvqf2ll
93,,Atalanta Bergamasca Calcio,UEFA Super Cup,Defender,France,30oup47g0i12cvub12r7kmxd6,e75syeuawg3ql8nwpi3vr2btz,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/e75syeuawg3ql8nwpi3vr2btz/player/view/30oup47g0i12cvub12r7kmxd6
25,,Atalanta Bergamasca Calcio,UEFA Super Cup,Midfielder,Italy,3zes560vzpdka9z0smn56qhp0,e75syeuawg3ql8nwpi3vr2btz,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/e75syeuawg3ql8nwpi3vr2btz/player/view/3zes560vzpdka9z0smn56qhp0
13,Éderson,Atalanta Bergamasca Calcio,UEFA Super Cup,Midfielder,Brazil,4aqkgskbra4wsoo7a8uw7xl9l,e75syeuawg3ql8nwpi3vr2btz,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/e75syeuawg3ql8nwpi3vr2btz/player/view/4aqkgskbra4wsoo7a8uw7xl9l
42,,Atalanta Bergamasca Calcio,UEFA Super Cup,Defender,Italy,4cejhrr3ji36591xf54jue3ca,e75syeuawg3ql8nwpi3vr2btz,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/e75syeuawg3ql8nwpi3vr2btz/player/view/4cejhrr3ji36591xf54jue3ca
